loc,length,bug type,approach
7,5,Safe,Etherscan
13,4,Safe,Etherscan
49,7,Safe,Etherscan
57,3,Safe,Etherscan
61,12,Safe,Etherscan
74,7,Safe,Etherscan
82,5,Safe,Etherscan
88,5,Safe,Etherscan
94,30,Safe,Etherscan
125,4,Safe,Etherscan
130,10,Safe,Etherscan
141,3,Safe,Etherscan
145,3,Safe,Etherscan
149,14,Safe,Etherscan
164,3,Safe,Etherscan
168,16,Safe,Etherscan
185,3,Safe,Etherscan
189,10,Safe,Etherscan
200,3,Safe,Etherscan
204,19,Safe,Etherscan
224,3,Safe,Etherscan
228,9,Safe,Etherscan
238,3,Safe,Etherscan
242,4,Safe,Etherscan
247,3,Safe,Etherscan
251,3,Reentrancy,Etherscan
255,3,Safe,Etherscan
