loc,length,bug type,approach
13,4,Safe,Etherscan
18,6,Safe,Etherscan
25,7,Safe,Etherscan
33,7,Safe,Etherscan
41,7,Safe,Etherscan
65,5,Safe,Etherscan
76,17,Safe,Etherscan
94,25,Safe,Etherscan
125,13,Safe,Etherscan
139,7,Safe,Etherscan
147,19,Safe,Etherscan
182,5,Safe,Etherscan
193,22,Safe,Etherscan
216,20,Safe,Etherscan
242,13,Safe,Etherscan
256,7,Safe,Etherscan
264,18,Safe,Etherscan
294,4,Safe,Etherscan
299,4,Safe,Etherscan
304,7,Safe,Etherscan
327,4,Safe,Etherscan
339,7,Safe,Etherscan
352,7,Safe,Etherscan
360,7,Safe,Etherscan
376,9,Safe,Etherscan
387,21,Reentrancy,Etherscan
410,13,Reentrancy,Etherscan
442,9,Safe,Etherscan
453,7,Safe,Etherscan
465,15,Safe,Etherscan
481,7,Safe,Etherscan
489,7,Safe,Etherscan
505,4,Safe,Etherscan
510,4,Safe,Etherscan
515,7,Safe,Etherscan
569,19,Safe,Etherscan
595,22,Safe,Etherscan
640,40,Safe,Etherscan
690,30,Safe,Etherscan
727,27,Safe,Etherscan
758,16,Reentrancy,Etherscan
777,6,Reentrancy,Etherscan
791,3,Safe,Etherscan
797,4,Safe,Etherscan
805,5,Safe,Etherscan
812,4,Safe,Etherscan
818,11,Safe,Etherscan
832,9,Safe,Etherscan
843,3,Safe,Etherscan
846,3,Safe,Etherscan
849,3,Safe,Etherscan
852,3,Safe,Etherscan
858,3,Safe,Etherscan
861,3,Safe,Etherscan
864,3,Safe,Etherscan
867,3,Safe,Etherscan
870,3,Safe,Etherscan
