loc,length,bug type,approach
170,24,Safe,Etherscan
199,4,Safe,Etherscan
205,8,Safe,Etherscan
215,5,Safe,Etherscan
226,16,Safe,Etherscan
244,32,Safe,Etherscan
277,40,Safe,Etherscan
318,40,Safe,Etherscan
360,31,Safe,Etherscan
392,39,Safe,Etherscan
432,39,Safe,Etherscan
473,67,Safe,Etherscan
542,15,Safe,Etherscan
558,15,Safe,Etherscan
574,15,Safe,Etherscan
594,17,Safe,Etherscan
613,19,Safe,Etherscan
634,40,Safe,Etherscan
676,7,Safe,Etherscan
685,26,Safe,Etherscan
713,25,Safe,Etherscan
744,49,Safe,Etherscan
795,46,Safe,Etherscan
843,108,Safe,Etherscan
956,7,Safe,Etherscan
965,14,Safe,Etherscan
981,17,Safe,Etherscan
1003,17,Safe,Etherscan
1022,7,Safe,Etherscan
1031,32,Safe,Etherscan
1065,10,Safe,Etherscan
1077,17,Safe,Etherscan
1096,66,Safe,Etherscan
1164,12,Safe,Etherscan
1178,19,Safe,Etherscan
1199,20,time_manipulation,Etherscan
1221,51,Reentrancy,Etherscan
1273,10,Safe,Etherscan
1285,32,Safe,Etherscan
1319,18,Safe,Etherscan
1339,18,Safe,Etherscan
1359,24,Safe,Etherscan
1389,20,Safe,Etherscan
1492,7,Safe,Etherscan
1501,7,Safe,Etherscan
1510,7,Safe,Etherscan
1519,7,Safe,Etherscan
1551,63,Safe,Etherscan
1620,12,Safe,Etherscan
1634,8,Safe,Etherscan
1644,9,Safe,Etherscan
1655,13,Safe,Etherscan
1670,7,Safe,Etherscan
1679,17,Safe,Etherscan
