loc,length,bug type,approach
163,24,Safe,Etherscan
192,4,Safe,Etherscan
198,8,Safe,Etherscan
208,5,Safe,Etherscan
219,16,Safe,Etherscan
237,32,Safe,Etherscan
270,40,Safe,Etherscan
311,40,Safe,Etherscan
353,31,Safe,Etherscan
385,39,Safe,Etherscan
425,39,Safe,Etherscan
466,67,Safe,Etherscan
535,15,Safe,Etherscan
551,15,Safe,Etherscan
567,15,Safe,Etherscan
587,17,Safe,Etherscan
606,19,Safe,Etherscan
627,40,Safe,Etherscan
669,7,Safe,Etherscan
678,26,Safe,Etherscan
706,25,Safe,Etherscan
737,49,Safe,Etherscan
788,46,Safe,Etherscan
836,108,Safe,Etherscan
949,7,Safe,Etherscan
958,14,Safe,Etherscan
974,17,Safe,Etherscan
996,17,Safe,Etherscan
1015,7,Safe,Etherscan
1024,32,Safe,Etherscan
1058,10,Safe,Etherscan
1070,17,Safe,Etherscan
1089,64,Safe,Etherscan
1155,12,Safe,Etherscan
1169,19,Safe,Etherscan
1190,20,time_manipulation,Etherscan
1212,52,Reentrancy,Etherscan
1265,10,Safe,Etherscan
1277,32,Safe,Etherscan
1311,18,Safe,Etherscan
1331,18,Safe,Etherscan
1351,24,Safe,Etherscan
1381,18,Safe,Etherscan
1482,7,Safe,Etherscan
1491,7,Safe,Etherscan
1500,7,Safe,Etherscan
1509,7,Safe,Etherscan
1538,63,Safe,Etherscan
1607,12,Safe,Etherscan
1621,8,Safe,Etherscan
1631,9,Safe,Etherscan
1642,13,Safe,Etherscan
1657,7,Safe,Etherscan
1666,17,Safe,Etherscan
