loc,length,bug type,approach
154,4,Safe,Etherscan
160,8,Safe,Etherscan
170,5,Safe,Etherscan
181,16,Safe,Etherscan
199,29,Safe,Etherscan
229,37,Safe,Etherscan
267,37,Safe,Etherscan
306,28,Safe,Etherscan
335,36,Safe,Etherscan
372,36,Safe,Etherscan
410,63,Safe,Etherscan
475,15,Safe,Etherscan
491,15,Safe,Etherscan
507,15,Safe,Etherscan
527,14,Safe,Etherscan
543,16,Safe,Etherscan
561,37,Safe,Etherscan
600,7,Safe,Etherscan
609,18,Safe,Etherscan
629,22,Safe,Etherscan
657,45,Safe,Etherscan
704,42,Safe,Etherscan
748,105,Safe,Etherscan
858,7,Safe,Etherscan
867,14,Safe,Etherscan
883,14,Safe,Etherscan
902,17,Safe,Etherscan
921,7,Safe,Etherscan
930,32,Safe,Etherscan
964,9,Safe,Etherscan
975,56,Reentrancy,Etherscan
1033,12,Safe,Etherscan
1047,19,Safe,Etherscan
1068,20,time_manipulation,Etherscan
1090,41,Reentrancy,Etherscan
1133,29,Safe,Etherscan
1164,18,Safe,Etherscan
1184,18,Safe,Etherscan
1204,23,Safe,Etherscan
1230,20,Safe,Etherscan
1318,7,Safe,Etherscan
1327,7,Safe,Etherscan
1336,7,Safe,Etherscan
1345,7,Safe,Etherscan
1368,63,Safe,Etherscan
1437,12,Safe,Etherscan
1451,8,Safe,Etherscan
1461,9,Safe,Etherscan
1472,13,Safe,Etherscan
1487,7,Safe,Etherscan
