loc,length,bug type,approach
175,24,Safe,Etherscan
204,4,Safe,Etherscan
210,8,Safe,Etherscan
220,5,Safe,Etherscan
231,16,Safe,Etherscan
249,32,Safe,Etherscan
282,40,Safe,Etherscan
323,40,Safe,Etherscan
365,31,Safe,Etherscan
397,39,Safe,Etherscan
437,39,Safe,Etherscan
478,67,Safe,Etherscan
547,15,Safe,Etherscan
563,15,Safe,Etherscan
579,15,Safe,Etherscan
599,17,Safe,Etherscan
618,19,Safe,Etherscan
639,40,Safe,Etherscan
681,7,Safe,Etherscan
690,26,Safe,Etherscan
718,25,Safe,Etherscan
749,49,Safe,Etherscan
800,46,Safe,Etherscan
848,108,Safe,Etherscan
961,7,Safe,Etherscan
970,14,Safe,Etherscan
986,17,Safe,Etherscan
1008,17,Safe,Etherscan
1027,7,Safe,Etherscan
1036,32,Safe,Etherscan
1070,10,Safe,Etherscan
1082,17,Safe,Etherscan
1101,62,Safe,Etherscan
1165,12,Safe,Etherscan
1179,19,Safe,Etherscan
1200,20,time_manipulation,Etherscan
1222,52,Reentrancy,Etherscan
1275,10,Safe,Etherscan
1287,32,Safe,Etherscan
1321,18,Safe,Etherscan
1341,18,Safe,Etherscan
1361,24,Safe,Etherscan
1391,18,Safe,Etherscan
1492,7,Safe,Etherscan
1501,7,Safe,Etherscan
1510,7,Safe,Etherscan
1519,7,Safe,Etherscan
1548,63,Safe,Etherscan
1617,12,Safe,Etherscan
1631,8,Safe,Etherscan
1641,9,Safe,Etherscan
1652,13,Safe,Etherscan
1667,7,Safe,Etherscan
1676,17,Safe,Etherscan
