loc,length,bug type,approach
7,8,Safe,Etherscan
16,4,Safe,Etherscan
21,5,Safe,Etherscan
108,4,Safe,Etherscan
115,6,Safe,Etherscan
135,3,Safe,Etherscan
140,3,Safe,Etherscan
146,12,Safe,Etherscan
162,7,Safe,Etherscan
171,11,Safe,Etherscan
184,7,Safe,Etherscan
197,12,Safe,Etherscan
211,5,Safe,Etherscan
219,34,Safe,Etherscan
257,11,Safe,Etherscan
271,7,Safe,Etherscan
282,12,Safe,Etherscan
297,15,Safe,Etherscan
315,7,Safe,Etherscan
325,17,time_manipulation,Etherscan
345,10,Safe,Etherscan
356,3,Safe,Etherscan
361,12,time_manipulation,Etherscan
375,9,Safe,Etherscan
386,8,Safe,Etherscan
396,25,time_manipulation,Etherscan
423,8,Safe,Etherscan
435,4,Safe,Etherscan
442,4,Safe,Etherscan
452,7,Safe,Etherscan
464,11,Safe,Etherscan
480,18,Safe,Etherscan
500,3,Safe,Etherscan
