loc,length,bug type,approach
7,13,Safe,Etherscan
22,7,Safe,Etherscan
31,6,Safe,Etherscan
39,6,Safe,Etherscan
47,4,Safe,Etherscan
56,4,Safe,Etherscan
62,4,Safe,Etherscan
68,4,Safe,Etherscan
73,4,Safe,Etherscan
79,4,Safe,Etherscan
125,11,Safe,Etherscan
138,94,Reentrancy,Etherscan
234,16,Reentrancy,Etherscan
252,3,Safe,Etherscan
257,3,Safe,Etherscan
262,3,Safe,Etherscan
267,9,Safe,Etherscan
278,5,Safe,Etherscan
285,5,Safe,Etherscan
292,8,Safe,Etherscan
302,5,Safe,Etherscan
309,10,Reentrancy,Etherscan
322,5,Safe,Etherscan
329,5,Safe,Etherscan
336,5,Safe,Etherscan
343,6,Safe,Etherscan
351,5,Safe,Etherscan
