loc,length,bug type,approach
80,12,Safe,Etherscan
94,6,Safe,Etherscan
102,4,Safe,Etherscan
108,5,Safe,Etherscan
120,6,Safe,Etherscan
127,16,Safe,Etherscan
144,21,Safe,Etherscan
166,6,Reentrancy,Etherscan
173,6,Reentrancy,Etherscan
180,6,Reentrancy,Etherscan
189,7,Safe,Etherscan
197,7,Safe,Etherscan
207,6,Reentrancy,Etherscan
214,6,Reentrancy,Etherscan
228,18,Safe,Etherscan
261,3,Safe,Etherscan
265,5,Safe,Etherscan
273,4,Reentrancy,Etherscan
278,5,Reentrancy,Etherscan
286,3,Safe,Etherscan
290,4,Safe,Etherscan
295,3,Safe,Etherscan
299,4,Safe,Etherscan
306,3,Safe,Etherscan
310,4,Safe,Etherscan
315,3,Safe,Etherscan
319,4,Safe,Etherscan
326,6,Safe,Etherscan
333,4,Safe,Etherscan
