loc,length,bug type,approach
9,6,Safe,Etherscan
19,5,Safe,Etherscan
25,6,Safe,Etherscan
32,4,Safe,Etherscan
37,5,Safe,Etherscan
52,3,Safe,Etherscan
58,4,Safe,Etherscan
65,5,Safe,Etherscan
77,4,Safe,Etherscan
83,3,Safe,Etherscan
88,5,Safe,Etherscan
98,4,Safe,Etherscan
107,3,Safe,Etherscan
112,2,Safe,Etherscan
116,3,Reentrancy,Etherscan
134,9,Safe,Etherscan
145,3,Safe,Etherscan
159,3,Safe,Etherscan
163,3,Safe,Etherscan
167,3,Safe,Etherscan
176,4,Safe,Etherscan
186,3,Safe,Etherscan
201,14,Safe,Etherscan
217,5,Safe,Etherscan
224,3,Safe,Etherscan
229,6,Safe,Etherscan
236,11,Safe,Etherscan
257,4,Safe,Etherscan
263,7,Safe,Etherscan
272,5,Safe,Etherscan
345,28,time_manipulation,Etherscan
374,4,Safe,Etherscan
387,15,Safe,Etherscan
403,29,time_manipulation,Etherscan
433,29,Safe,Etherscan
463,73,time_manipulation,Etherscan
537,14,Reentrancy,Etherscan
553,7,Safe,Etherscan
561,14,Safe,Etherscan
595,27,Safe,Etherscan
623,12,Safe,Etherscan
636,12,Safe,Etherscan
650,17,time_manipulation,Etherscan
