loc,length,bug type,approach
151,4,Safe,Etherscan
160,4,Safe,Etherscan
166,8,Safe,Etherscan
176,5,Safe,Etherscan
187,16,Safe,Etherscan
205,29,Safe,Etherscan
235,37,Safe,Etherscan
273,37,Safe,Etherscan
312,28,Safe,Etherscan
341,36,Safe,Etherscan
378,36,Safe,Etherscan
416,63,Safe,Etherscan
481,15,Safe,Etherscan
497,15,Safe,Etherscan
513,15,Safe,Etherscan
533,14,Safe,Etherscan
549,16,Safe,Etherscan
567,37,Safe,Etherscan
606,7,Safe,Etherscan
615,17,Safe,Etherscan
634,22,Safe,Etherscan
662,45,Safe,Etherscan
709,42,Safe,Etherscan
753,105,Safe,Etherscan
863,7,Safe,Etherscan
872,14,Safe,Etherscan
888,14,Safe,Etherscan
907,17,Safe,Etherscan
926,7,Safe,Etherscan
935,32,Safe,Etherscan
969,9,Safe,Etherscan
980,50,Reentrancy,Etherscan
1032,12,Safe,Etherscan
1046,19,Safe,Etherscan
1067,20,time_manipulation,Etherscan
1089,32,Reentrancy,Etherscan
1123,29,Safe,Etherscan
1154,18,Safe,Etherscan
1174,18,Safe,Etherscan
1194,23,Safe,Etherscan
1220,19,Safe,Etherscan
1307,7,Safe,Etherscan
1316,7,Safe,Etherscan
1325,7,Safe,Etherscan
1334,7,Safe,Etherscan
1360,63,Safe,Etherscan
1429,12,Safe,Etherscan
1443,8,Safe,Etherscan
1453,9,Safe,Etherscan
1464,13,Safe,Etherscan
1479,7,Safe,Etherscan
