loc,length,bug type,approach
47,5,Safe,Etherscan
52,5,Safe,Etherscan
58,35,Safe,Etherscan
94,3,Safe,Etherscan
97,2,Safe,Etherscan
100,3,Safe,Etherscan
104,3,Safe,Etherscan
108,3,Safe,Etherscan
112,5,Safe,Etherscan
117,5,Safe,Etherscan
122,5,Safe,Etherscan
127,5,Safe,Etherscan
132,5,Safe,Etherscan
137,5,Safe,Etherscan
142,5,Safe,Etherscan
147,5,Safe,Etherscan
152,6,Safe,Etherscan
158,6,Safe,Etherscan
164,6,Safe,Etherscan
170,6,Safe,Etherscan
176,5,Safe,Etherscan
181,5,Safe,Etherscan
186,5,Safe,Etherscan
191,5,Safe,Etherscan
197,6,Safe,Etherscan
203,6,Safe,Etherscan
209,6,Safe,Etherscan
215,6,Safe,Etherscan
221,7,Safe,Etherscan
228,7,Safe,Etherscan
235,7,Safe,Etherscan
242,7,Safe,Etherscan
250,8,Safe,Etherscan
258,8,Safe,Etherscan
266,8,Safe,Etherscan
274,8,Safe,Etherscan
282,9,Safe,Etherscan
291,9,Safe,Etherscan
300,9,Safe,Etherscan
309,9,Safe,Etherscan
318,6,Safe,Etherscan
324,6,Safe,Etherscan
330,6,Safe,Etherscan
336,6,Safe,Etherscan
342,5,Safe,Etherscan
347,5,Safe,Etherscan
352,5,Safe,Etherscan
357,5,Safe,Etherscan
363,6,Safe,Etherscan
369,6,Safe,Etherscan
375,6,Safe,Etherscan
381,6,Safe,Etherscan
387,7,Safe,Etherscan
394,7,Safe,Etherscan
401,7,Safe,Etherscan
408,7,Safe,Etherscan
416,8,Safe,Etherscan
424,8,Safe,Etherscan
432,8,Safe,Etherscan
440,8,Safe,Etherscan
448,9,Safe,Etherscan
457,9,Safe,Etherscan
466,9,Safe,Etherscan
475,9,Safe,Etherscan
485,3,Safe,Etherscan
488,3,Safe,Etherscan
491,3,Safe,Etherscan
494,3,Safe,Etherscan
498,3,Safe,Etherscan
502,5,Safe,Etherscan
508,19,Safe,Etherscan
528,17,Safe,Etherscan
546,26,Safe,Etherscan
573,16,Safe,Etherscan
590,3,Safe,Etherscan
594,3,Safe,Etherscan
598,3,Safe,Etherscan
603,3,Safe,Etherscan
608,17,Safe,Etherscan
626,16,Safe,Etherscan
643,41,Safe,Etherscan
685,41,Safe,Etherscan
729,3,Safe,Etherscan
733,3,Safe,Etherscan
737,18,Safe,Etherscan
756,3,Safe,Etherscan
763,27,Safe,Etherscan
791,34,Safe,Etherscan
826,9,Safe,Etherscan
836,9,Safe,Etherscan
846,48,Safe,Etherscan
897,23,Safe,Etherscan
923,26,Safe,Etherscan
951,39,Safe,Etherscan
997,4,Safe,Etherscan
1002,4,Safe,Etherscan
1045,4,Safe,Etherscan
1050,4,Safe,Etherscan
1055,4,Safe,Etherscan
1060,4,Safe,Etherscan
1065,4,Safe,Etherscan
1070,6,Safe,Etherscan
1085,7,Safe,Etherscan
1094,28,Reentrancy,Etherscan
1123,28,Reentrancy,Etherscan
1152,7,Safe,Etherscan
1160,14,Reentrancy,Etherscan
1176,3,Safe,Etherscan
1180,9,Safe,Etherscan
1190,5,Safe,Etherscan
