loc,length,bug type,approach
13,4,Safe,Etherscan
18,6,Safe,Etherscan
25,7,Safe,Etherscan
33,7,Safe,Etherscan
41,7,Safe,Etherscan
54,4,Safe,Etherscan
59,4,Safe,Etherscan
64,7,Safe,Etherscan
89,4,Safe,Etherscan
94,4,Safe,Etherscan
99,7,Safe,Etherscan
119,4,Safe,Etherscan
124,4,Safe,Etherscan
129,7,Safe,Etherscan
149,3,Safe,Etherscan
154,4,Safe,Etherscan
161,5,Safe,Etherscan
169,10,Safe,Etherscan
181,3,time_manipulation,Etherscan
190,3,Safe,Etherscan
193,3,Safe,Etherscan
196,4,Safe,Etherscan
217,5,Safe,Etherscan
228,22,Safe,Etherscan
251,20,Safe,Etherscan
277,13,Safe,Etherscan
291,7,Safe,Etherscan
299,18,Safe,Etherscan
334,5,Safe,Etherscan
345,17,Safe,Etherscan
363,25,Safe,Etherscan
394,13,Safe,Etherscan
408,7,Safe,Etherscan
416,19,Safe,Etherscan
450,4,Safe,Etherscan
462,7,Safe,Etherscan
475,7,Safe,Etherscan
483,7,Safe,Etherscan
499,9,Safe,Etherscan
510,21,Reentrancy,Etherscan
533,13,Reentrancy,Etherscan
565,9,Safe,Etherscan
576,7,Safe,Etherscan
588,15,Safe,Etherscan
604,7,Safe,Etherscan
612,7,Safe,Etherscan
663,9,Safe,Etherscan
678,7,Safe,Etherscan
691,8,Safe,Etherscan
700,8,Safe,Etherscan
709,10,Safe,Etherscan
725,24,Safe,Etherscan
751,8,Safe,Etherscan
765,23,Safe,Etherscan
790,10,Safe,Etherscan
807,22,Safe,Etherscan
831,9,Safe,Etherscan
843,15,Safe,Etherscan
860,9,Safe,Etherscan
876,3,Safe,Etherscan
881,17,Reentrancy,Etherscan
900,7,Safe,Etherscan
