loc,length,bug type,approach
9,3,Safe,Etherscan
13,4,Safe,Etherscan
25,4,Safe,Etherscan
31,4,Safe,Etherscan
45,5,Safe,Etherscan
54,31,Safe,Etherscan
89,13,Safe,Etherscan
105,21,Safe,Etherscan
218,16,Safe,Etherscan
237,9,Safe,Etherscan
248,8,Safe,Etherscan
258,22,Safe,Etherscan
282,11,Safe,Etherscan
295,21,Safe,Etherscan
318,35,Safe,Etherscan
356,31,Safe,Etherscan
389,15,Safe,Etherscan
406,10,Safe,Etherscan
420,6,Safe,Etherscan
428,11,Reentrancy,Etherscan
441,6,Safe,Etherscan
449,6,Safe,Etherscan
457,6,Safe,Etherscan
465,6,Safe,Etherscan
473,6,Safe,Etherscan
483,7,Safe,Etherscan
492,7,Safe,Etherscan
501,8,Safe,Etherscan
511,8,Safe,Etherscan
521,7,Safe,Etherscan
530,7,Safe,Etherscan
539,7,Safe,Etherscan
548,16,Safe,Etherscan
566,14,Safe,Etherscan
582,11,Safe,Etherscan
595,12,Safe,Etherscan
609,7,Safe,Etherscan
619,25,Safe,Etherscan
646,24,Safe,Etherscan
671,75,Safe,Etherscan
748,32,Safe,Etherscan
782,24,Safe,Etherscan
810,8,Safe,Etherscan
824,8,Safe,Etherscan
834,6,Safe,Etherscan
842,4,Safe,Etherscan
848,5,Safe,Etherscan
