loc,length,bug type,approach
10,12,Safe,Etherscan
24,14,Safe,Etherscan
40,8,Safe,Etherscan
50,8,Safe,Etherscan
60,6,Safe,Etherscan
68,6,Safe,Etherscan
76,6,Safe,Etherscan
84,6,Safe,Etherscan
92,4,Safe,Etherscan
102,3,Safe,Etherscan
105,3,Safe,Etherscan
109,3,Safe,Etherscan
112,3,Safe,Etherscan
144,3,Safe,Etherscan
149,4,Safe,Etherscan
155,5,Safe,Etherscan
162,4,Safe,Etherscan
173,4,Safe,Etherscan
179,3,Safe,Etherscan
184,5,Safe,Etherscan
200,4,Safe,Etherscan
206,4,Safe,Etherscan
212,4,Safe,Etherscan
218,4,Safe,Etherscan
335,27,Safe,Etherscan
364,2,Safe,Etherscan
367,3,Safe,Etherscan
371,4,Safe,Etherscan
376,3,Safe,Etherscan
380,4,Safe,Etherscan
385,3,Safe,Etherscan
389,3,Safe,Etherscan
393,3,Safe,Etherscan
398,17,Safe,Etherscan
416,3,Safe,Etherscan
421,18,Safe,Etherscan
440,5,Safe,Etherscan
447,37,Safe,Etherscan
485,8,Safe,Etherscan
495,9,Reentrancy,Etherscan
506,18,Safe,Etherscan
526,45,Reentrancy,Etherscan
573,6,Safe,Etherscan
581,12,Safe,Etherscan
594,5,Safe,Etherscan
600,10,Safe,Etherscan
611,15,Safe,Etherscan
