loc,length,bug type,approach
176,29,Safe,Etherscan
210,4,Safe,Etherscan
216,8,Safe,Etherscan
226,5,Safe,Etherscan
237,16,Safe,Etherscan
255,32,Safe,Etherscan
288,40,Safe,Etherscan
329,40,Safe,Etherscan
371,31,Safe,Etherscan
403,39,Safe,Etherscan
443,39,Safe,Etherscan
484,67,Safe,Etherscan
553,15,Safe,Etherscan
569,15,Safe,Etherscan
585,15,Safe,Etherscan
605,17,Safe,Etherscan
624,19,Safe,Etherscan
645,40,Safe,Etherscan
687,7,Safe,Etherscan
696,26,Safe,Etherscan
724,25,Safe,Etherscan
755,49,Safe,Etherscan
806,46,Safe,Etherscan
854,108,Safe,Etherscan
967,7,Safe,Etherscan
976,14,Safe,Etherscan
992,17,Safe,Etherscan
1014,17,Safe,Etherscan
1033,7,Safe,Etherscan
1042,32,Safe,Etherscan
1076,10,Safe,Etherscan
1088,17,Safe,Etherscan
1107,62,Safe,Etherscan
1171,12,Safe,Etherscan
1185,19,Safe,Etherscan
1206,20,time_manipulation,Etherscan
1228,51,Reentrancy,Etherscan
1281,49,Safe,Etherscan
1331,10,Safe,Etherscan
1343,32,Safe,Etherscan
1377,18,Safe,Etherscan
1397,18,Safe,Etherscan
1417,24,Safe,Etherscan
1447,18,Safe,Etherscan
1548,7,Safe,Etherscan
1557,7,Safe,Etherscan
1566,7,Safe,Etherscan
1575,7,Safe,Etherscan
1604,63,Safe,Etherscan
1673,12,Safe,Etherscan
1687,8,Safe,Etherscan
1697,9,Safe,Etherscan
1708,13,Safe,Etherscan
1723,7,Safe,Etherscan
1732,17,Safe,Etherscan
