loc,length,bug type,approach
184,24,Safe,Etherscan
213,4,Safe,Etherscan
218,4,Safe,Etherscan
224,5,Safe,Etherscan
231,5,Safe,Etherscan
237,4,Safe,Etherscan
245,4,Safe,Etherscan
250,3,Safe,Etherscan
254,11,Safe,Etherscan
266,15,Safe,Etherscan
282,17,Safe,Etherscan
301,33,Safe,Etherscan
335,41,Safe,Etherscan
377,41,Safe,Etherscan
420,32,Safe,Etherscan
453,40,Safe,Etherscan
494,40,Safe,Etherscan
536,67,Safe,Etherscan
605,15,Safe,Etherscan
621,15,Safe,Etherscan
637,15,Safe,Etherscan
657,17,Safe,Etherscan
676,19,Safe,Etherscan
697,40,Safe,Etherscan
739,7,Safe,Etherscan
748,26,Safe,Etherscan
776,25,Safe,Etherscan
807,54,Safe,Etherscan
863,49,Safe,Etherscan
914,106,Safe,Etherscan
1025,7,Safe,Etherscan
1034,14,Safe,Etherscan
1050,17,Safe,Etherscan
1072,17,Safe,Etherscan
1091,7,Safe,Etherscan
1100,32,Safe,Etherscan
1134,10,Safe,Etherscan
1146,17,Safe,Etherscan
1165,5,Safe,Etherscan
1172,64,Safe,Etherscan
1238,12,Safe,Etherscan
1252,36,Safe,Etherscan
1290,11,Safe,Etherscan
1303,16,time_manipulation,Etherscan
1321,48,Reentrancy,Etherscan
1370,7,Safe,Etherscan
1379,32,Safe,Etherscan
1413,18,Safe,Etherscan
1433,18,Safe,Etherscan
1453,24,Safe,Etherscan
1483,18,Safe,Etherscan
1585,7,Safe,Etherscan
1594,7,Safe,Etherscan
1603,7,Safe,Etherscan
1612,7,Safe,Etherscan
1661,63,Safe,Etherscan
1730,12,Safe,Etherscan
1744,8,Safe,Etherscan
1754,9,Safe,Etherscan
1765,13,Safe,Etherscan
1780,7,Safe,Etherscan
1789,17,Safe,Etherscan
