loc,length,bug type,approach
9,11,Safe,Etherscan
22,6,Safe,Etherscan
30,4,Safe,Etherscan
36,5,Safe,Etherscan
48,3,Safe,Etherscan
51,3,Safe,Etherscan
55,3,Safe,Etherscan
58,3,Safe,Etherscan
90,3,Safe,Etherscan
95,4,Safe,Etherscan
101,5,Safe,Etherscan
108,4,Safe,Etherscan
119,4,Safe,Etherscan
125,3,Safe,Etherscan
130,5,Safe,Etherscan
146,4,Safe,Etherscan
152,4,Safe,Etherscan
158,4,Safe,Etherscan
164,4,Safe,Etherscan
178,12,Safe,Etherscan
192,4,Safe,Etherscan
282,24,Safe,Etherscan
308,2,Safe,Etherscan
311,3,Safe,Etherscan
315,4,Safe,Etherscan
320,5,Safe,Etherscan
327,3,Safe,Etherscan
331,3,Safe,Etherscan
335,3,Safe,Etherscan
340,17,Safe,Etherscan
358,44,Reentrancy,Etherscan
