loc,length,bug type,approach
172,24,Safe,Etherscan
201,4,Safe,Etherscan
207,8,Safe,Etherscan
217,5,Safe,Etherscan
228,16,Safe,Etherscan
246,32,Safe,Etherscan
279,40,Safe,Etherscan
320,40,Safe,Etherscan
362,31,Safe,Etherscan
394,39,Safe,Etherscan
434,39,Safe,Etherscan
475,67,Safe,Etherscan
544,15,Safe,Etherscan
560,15,Safe,Etherscan
576,15,Safe,Etherscan
596,17,Safe,Etherscan
615,19,Safe,Etherscan
636,40,Safe,Etherscan
678,7,Safe,Etherscan
687,26,Safe,Etherscan
715,25,Safe,Etherscan
746,49,Safe,Etherscan
797,46,Safe,Etherscan
845,108,Safe,Etherscan
958,7,Safe,Etherscan
967,14,Safe,Etherscan
983,17,Safe,Etherscan
1005,17,Safe,Etherscan
1024,7,Safe,Etherscan
1033,32,Safe,Etherscan
1067,10,Safe,Etherscan
1079,17,Safe,Etherscan
1098,64,Safe,Etherscan
1164,12,Safe,Etherscan
1178,22,Safe,Etherscan
1202,20,time_manipulation,Etherscan
1224,51,Reentrancy,Etherscan
1276,10,Safe,Etherscan
1288,32,Safe,Etherscan
1322,18,Safe,Etherscan
1342,18,Safe,Etherscan
1362,24,Safe,Etherscan
1392,18,Safe,Etherscan
1493,7,Safe,Etherscan
1502,7,Safe,Etherscan
1511,7,Safe,Etherscan
1520,7,Safe,Etherscan
1549,63,Safe,Etherscan
1618,12,Safe,Etherscan
1632,8,Safe,Etherscan
1642,9,Safe,Etherscan
1653,13,Safe,Etherscan
1668,7,Safe,Etherscan
1677,17,Safe,Etherscan
