loc,length,bug type,approach
168,24,Safe,Etherscan
197,4,Safe,Etherscan
203,8,Safe,Etherscan
213,5,Safe,Etherscan
224,16,Safe,Etherscan
242,32,Safe,Etherscan
275,40,Safe,Etherscan
316,40,Safe,Etherscan
358,31,Safe,Etherscan
390,39,Safe,Etherscan
430,39,Safe,Etherscan
471,67,Safe,Etherscan
540,15,Safe,Etherscan
556,15,Safe,Etherscan
572,15,Safe,Etherscan
592,17,Safe,Etherscan
611,19,Safe,Etherscan
632,40,Safe,Etherscan
674,7,Safe,Etherscan
683,26,Safe,Etherscan
711,25,Safe,Etherscan
742,49,Safe,Etherscan
793,46,Safe,Etherscan
841,108,Safe,Etherscan
954,7,Safe,Etherscan
963,14,Safe,Etherscan
979,17,Safe,Etherscan
1001,17,Safe,Etherscan
1020,7,Safe,Etherscan
1029,32,Safe,Etherscan
1063,10,Safe,Etherscan
1075,17,Safe,Etherscan
1094,64,Safe,Etherscan
1160,12,Safe,Etherscan
1174,19,Safe,Etherscan
1195,20,time_manipulation,Etherscan
1217,51,Reentrancy,Etherscan
1269,10,Safe,Etherscan
1281,32,Safe,Etherscan
1315,18,Safe,Etherscan
1335,18,Safe,Etherscan
1355,24,Safe,Etherscan
1385,18,Safe,Etherscan
1486,7,Safe,Etherscan
1495,7,Safe,Etherscan
1504,7,Safe,Etherscan
1513,7,Safe,Etherscan
1549,63,Safe,Etherscan
1618,12,Safe,Etherscan
1632,8,Safe,Etherscan
1642,9,Safe,Etherscan
1653,13,Safe,Etherscan
1668,7,Safe,Etherscan
1677,17,Safe,Etherscan
