loc,length,bug type,approach
5,63,Safe,Etherscan
74,12,Safe,Etherscan
88,8,Safe,Etherscan
98,9,Safe,Etherscan
109,13,Safe,Etherscan
124,7,Safe,Etherscan
133,17,Safe,Etherscan
235,7,Safe,Etherscan
244,7,Safe,Etherscan
253,7,Safe,Etherscan
262,7,Safe,Etherscan
445,24,Safe,Etherscan
474,4,Safe,Etherscan
480,8,Safe,Etherscan
490,5,Safe,Etherscan
501,16,Safe,Etherscan
519,32,Safe,Etherscan
552,39,Safe,Etherscan
592,40,Safe,Etherscan
634,39,Safe,Etherscan
675,31,Safe,Etherscan
707,39,Safe,Etherscan
747,39,Safe,Etherscan
788,67,Safe,Etherscan
857,67,Safe,Etherscan
927,15,Safe,Etherscan
943,15,Safe,Etherscan
959,15,Safe,Etherscan
981,17,Safe,Etherscan
1000,19,Safe,Etherscan
1021,40,Safe,Etherscan
1063,7,Safe,Etherscan
1072,26,Safe,Etherscan
1100,25,Safe,Etherscan
1131,49,Safe,Etherscan
1182,49,Safe,Etherscan
1233,46,Safe,Etherscan
1281,112,Safe,Etherscan
1403,7,Safe,Etherscan
1412,14,Safe,Etherscan
1428,17,Safe,Etherscan
1450,17,Safe,Etherscan
1469,7,Safe,Etherscan
1478,32,Safe,Etherscan
1513,32,Safe,Etherscan
1547,10,Safe,Etherscan
1559,17,Safe,Etherscan
1578,64,Safe,Etherscan
1644,12,Safe,Etherscan
1658,19,Safe,Etherscan
1679,20,time_manipulation,Etherscan
1701,52,Reentrancy,Etherscan
1754,10,Safe,Etherscan
1766,32,Safe,Etherscan
1800,18,Safe,Etherscan
1820,18,Safe,Etherscan
1840,24,Safe,Etherscan
1866,24,Safe,Etherscan
1896,18,Safe,Etherscan
