loc,length,bug type,approach
10,3,Safe,Etherscan
14,4,Safe,Etherscan
27,4,Safe,Etherscan
33,4,Safe,Etherscan
38,4,Safe,Etherscan
52,5,Safe,Etherscan
64,31,Safe,Etherscan
178,22,Safe,Etherscan
203,9,Safe,Etherscan
214,8,Safe,Etherscan
224,8,Reentrancy,Etherscan
234,21,Safe,Etherscan
257,11,Safe,Etherscan
270,21,Safe,Etherscan
293,40,Safe,Etherscan
336,31,Safe,Etherscan
369,12,Safe,Etherscan
383,6,Safe,Etherscan
400,6,Safe,Etherscan
408,6,Safe,Etherscan
416,6,Safe,Etherscan
424,6,Safe,Etherscan
432,6,Safe,Etherscan
442,7,Safe,Etherscan
451,7,Safe,Etherscan
460,8,Safe,Etherscan
470,8,Safe,Etherscan
480,7,Safe,Etherscan
489,7,Safe,Etherscan
498,16,Safe,Etherscan
516,16,Safe,Etherscan
534,11,Safe,Etherscan
547,12,Safe,Etherscan
561,6,Safe,Etherscan
572,20,Safe,Etherscan
593,50,Safe,Etherscan
645,56,Safe,Etherscan
703,29,Safe,Etherscan
734,23,Safe,Etherscan
761,8,Safe,Etherscan
775,8,Safe,Etherscan
785,6,Safe,Etherscan
793,4,Safe,Etherscan
799,5,Safe,Etherscan
