loc,length,bug type,approach
161,4,Safe,Etherscan
170,4,Safe,Etherscan
176,10,Safe,Etherscan
188,5,Safe,Etherscan
199,16,Safe,Etherscan
217,29,Safe,Etherscan
247,37,Safe,Etherscan
285,37,Safe,Etherscan
324,28,Safe,Etherscan
353,36,Safe,Etherscan
390,36,Safe,Etherscan
428,66,Safe,Etherscan
496,15,Safe,Etherscan
512,15,Safe,Etherscan
528,15,Safe,Etherscan
548,17,Safe,Etherscan
567,19,Safe,Etherscan
588,40,Safe,Etherscan
630,7,Safe,Etherscan
639,20,Safe,Etherscan
661,25,Safe,Etherscan
692,48,Safe,Etherscan
742,45,Safe,Etherscan
789,105,Safe,Etherscan
899,7,Safe,Etherscan
908,14,Safe,Etherscan
924,17,Safe,Etherscan
946,17,Safe,Etherscan
965,7,Safe,Etherscan
974,32,Safe,Etherscan
1008,17,Safe,Etherscan
1027,61,Reentrancy,Etherscan
1090,12,Safe,Etherscan
1104,19,Safe,Etherscan
1125,20,time_manipulation,Etherscan
1147,28,Reentrancy,Etherscan
1177,29,Safe,Etherscan
1208,18,Safe,Etherscan
1228,18,Safe,Etherscan
1248,23,Safe,Etherscan
1278,21,Safe,Etherscan
1368,7,Safe,Etherscan
1377,7,Safe,Etherscan
1386,7,Safe,Etherscan
1395,7,Safe,Etherscan
1421,63,Safe,Etherscan
1490,12,Safe,Etherscan
1504,8,Safe,Etherscan
1514,9,Safe,Etherscan
1525,13,Safe,Etherscan
1540,7,Safe,Etherscan
