loc,length,bug type,approach
10,3,Safe,Etherscan
14,4,Safe,Etherscan
27,4,Safe,Etherscan
33,4,Safe,Etherscan
38,4,Safe,Etherscan
52,5,Safe,Etherscan
64,31,Safe,Etherscan
178,23,Safe,Etherscan
204,9,Safe,Etherscan
215,8,Safe,Etherscan
225,8,Reentrancy,Etherscan
235,21,Safe,Etherscan
258,11,Safe,Etherscan
271,21,Safe,Etherscan
294,40,Safe,Etherscan
337,31,Safe,Etherscan
370,12,Safe,Etherscan
384,6,Safe,Etherscan
401,6,Safe,Etherscan
409,6,Safe,Etherscan
417,6,Safe,Etherscan
425,6,Safe,Etherscan
433,6,Safe,Etherscan
443,7,Safe,Etherscan
452,7,Safe,Etherscan
461,8,Safe,Etherscan
471,8,Safe,Etherscan
481,7,Safe,Etherscan
490,7,Safe,Etherscan
499,16,Safe,Etherscan
517,16,Safe,Etherscan
535,11,Safe,Etherscan
548,12,Safe,Etherscan
562,6,Safe,Etherscan
573,20,Safe,Etherscan
594,50,Safe,Etherscan
646,56,Safe,Etherscan
704,29,Safe,Etherscan
735,23,Safe,Etherscan
762,8,Safe,Etherscan
776,8,Safe,Etherscan
786,6,Safe,Etherscan
794,4,Safe,Etherscan
800,5,Safe,Etherscan
