loc,length,bug type,approach
7,8,Safe,Etherscan
16,4,Safe,Etherscan
21,5,Safe,Etherscan
99,4,Safe,Etherscan
106,6,Safe,Etherscan
125,3,Safe,Etherscan
130,3,Safe,Etherscan
136,12,Safe,Etherscan
152,7,Safe,Etherscan
161,11,Safe,Etherscan
174,7,Safe,Etherscan
187,12,Safe,Etherscan
201,5,Safe,Etherscan
209,34,Safe,Etherscan
247,11,Safe,Etherscan
261,7,Safe,Etherscan
272,12,Safe,Etherscan
287,15,Safe,Etherscan
305,6,Safe,Etherscan
313,7,Safe,Etherscan
323,9,Safe,Etherscan
334,7,Safe,Etherscan
343,9,Safe,Etherscan
354,8,Safe,Etherscan
364,20,Safe,Etherscan
386,8,Safe,Etherscan
398,4,Safe,Etherscan
405,4,Safe,Etherscan
414,9,Safe,Etherscan
428,18,Safe,Etherscan
448,3,Safe,Etherscan
