loc,length,bug type,approach
171,24,Safe,Etherscan
200,4,Safe,Etherscan
206,8,Safe,Etherscan
216,5,Safe,Etherscan
227,16,Safe,Etherscan
245,32,Safe,Etherscan
278,40,Safe,Etherscan
319,40,Safe,Etherscan
361,31,Safe,Etherscan
393,39,Safe,Etherscan
433,39,Safe,Etherscan
474,67,Safe,Etherscan
543,15,Safe,Etherscan
559,15,Safe,Etherscan
575,15,Safe,Etherscan
595,17,Safe,Etherscan
614,19,Safe,Etherscan
635,40,Safe,Etherscan
677,7,Safe,Etherscan
686,26,Safe,Etherscan
714,25,Safe,Etherscan
745,49,Safe,Etherscan
796,46,Safe,Etherscan
844,59,Safe,Etherscan
908,7,Safe,Etherscan
917,14,Safe,Etherscan
933,17,Safe,Etherscan
955,17,Safe,Etherscan
974,7,Safe,Etherscan
983,32,Safe,Etherscan
1017,10,Safe,Etherscan
1029,17,Safe,Etherscan
1048,64,Safe,Etherscan
1114,12,Safe,Etherscan
1128,19,Safe,Etherscan
1149,20,time_manipulation,Etherscan
1171,52,Reentrancy,Etherscan
1224,10,Safe,Etherscan
1236,32,Safe,Etherscan
1270,18,Safe,Etherscan
1290,18,Safe,Etherscan
1310,24,Safe,Etherscan
1340,18,Safe,Etherscan
1441,7,Safe,Etherscan
1450,7,Safe,Etherscan
1459,7,Safe,Etherscan
1468,7,Safe,Etherscan
1497,63,Safe,Etherscan
1566,12,Safe,Etherscan
1580,8,Safe,Etherscan
1590,9,Safe,Etherscan
1601,13,Safe,Etherscan
1616,7,Safe,Etherscan
1625,17,Safe,Etherscan
