loc,length,bug type,approach
175,24,Safe,Etherscan
204,4,Safe,Etherscan
210,10,Safe,Etherscan
222,5,Safe,Etherscan
234,16,Safe,Etherscan
252,32,Safe,Etherscan
285,40,Safe,Etherscan
326,40,Safe,Etherscan
368,31,Safe,Etherscan
400,39,Safe,Etherscan
440,39,Safe,Etherscan
481,67,Safe,Etherscan
550,15,Safe,Etherscan
566,15,Safe,Etherscan
582,15,Safe,Etherscan
602,17,Safe,Etherscan
621,19,Safe,Etherscan
642,40,Safe,Etherscan
684,7,Safe,Etherscan
693,26,Safe,Etherscan
721,25,Safe,Etherscan
752,49,Safe,Etherscan
803,46,Safe,Etherscan
851,108,Safe,Etherscan
964,7,Safe,Etherscan
973,14,Safe,Etherscan
989,17,Safe,Etherscan
1011,17,Safe,Etherscan
1030,7,Safe,Etherscan
1039,32,Safe,Etherscan
1073,10,Safe,Etherscan
1085,17,Safe,Etherscan
1104,71,Reentrancy,Etherscan
1177,12,Safe,Etherscan
1191,19,Safe,Etherscan
1212,20,time_manipulation,Etherscan
1234,48,Reentrancy,Etherscan
1283,10,Safe,Etherscan
1295,32,Safe,Etherscan
1329,18,Safe,Etherscan
1349,18,Safe,Etherscan
1369,24,Safe,Etherscan
1399,21,Safe,Etherscan
1503,7,Safe,Etherscan
1512,7,Safe,Etherscan
1521,7,Safe,Etherscan
1530,7,Safe,Etherscan
1561,63,Safe,Etherscan
1630,12,Safe,Etherscan
1644,8,Safe,Etherscan
1654,9,Safe,Etherscan
1665,13,Safe,Etherscan
1680,7,Safe,Etherscan
1689,17,Safe,Etherscan
