loc,length,bug type,approach
23,3,Safe,Etherscan
29,4,Safe,Etherscan
36,5,Safe,Etherscan
66,10,Safe,Etherscan
78,3,Safe,Etherscan
107,11,Safe,Etherscan
120,5,Safe,Etherscan
127,3,Safe,Etherscan
132,5,Safe,Etherscan
138,10,Safe,Etherscan
158,11,Safe,Etherscan
189,4,Safe,Etherscan
195,4,Safe,Etherscan
201,4,Safe,Etherscan
207,4,Safe,Etherscan
218,3,Safe,Etherscan
222,3,Safe,Etherscan
226,3,Safe,Etherscan
230,3,Safe,Etherscan
234,3,Safe,Etherscan
251,5,Safe,Etherscan
257,4,Safe,Etherscan
262,4,Safe,Etherscan
268,11,Safe,Etherscan
281,11,Safe,Etherscan
311,4,Safe,Etherscan
318,4,Safe,Etherscan
325,5,Safe,Etherscan
338,2,Safe,Etherscan
342,4,Safe,Etherscan
348,4,Safe,Etherscan
354,3,Safe,Etherscan
366,8,Safe,Etherscan
375,6,Safe,Etherscan
382,4,Safe,Etherscan
387,5,Safe,Etherscan
425,13,Safe,Etherscan
442,3,Safe,Etherscan
447,3,Safe,Etherscan
452,3,Safe,Etherscan
458,3,Safe,Etherscan
463,5,Safe,Etherscan
470,3,Safe,Etherscan
483,4,Safe,Etherscan
490,4,Safe,Etherscan
497,4,Safe,Etherscan
529,5,Safe,Etherscan
535,4,Safe,Etherscan
540,6,Safe,Etherscan
547,5,Safe,Etherscan
553,7,Safe,Etherscan
568,8,unchecked_low_calls,Etherscan
577,4,unchecked_low_calls,Etherscan
598,9,Safe,Etherscan
609,2,Safe,Etherscan
625,5,Safe,Etherscan
634,3,Safe,Etherscan
639,6,Safe,Etherscan
647,9,Safe,Etherscan
657,3,Safe,Etherscan
670,23,Safe,Etherscan
694,3,Safe,Etherscan
699,3,Safe,Etherscan
704,27,Safe,Etherscan
734,3,Safe,Etherscan
740,4,Safe,Etherscan
746,3,Safe,Etherscan
750,3,Safe,Etherscan
754,11,unchecked_low_calls,Etherscan
