loc,length,bug type,approach
6,3,Safe,Etherscan
10,4,Safe,Etherscan
14,5,Safe,Etherscan
44,4,Safe,Etherscan
49,3,Safe,Etherscan
53,7,Safe,Etherscan
61,7,Safe,Etherscan
69,4,Safe,Etherscan
75,11,Reentrancy,Etherscan
87,3,Safe,Etherscan
100,10,Safe,Etherscan
111,6,Safe,Etherscan
118,7,Safe,Etherscan
131,3,Safe,Etherscan
135,4,Safe,Etherscan
139,5,Safe,Etherscan
155,10,Safe,Etherscan
183,4,Safe,Etherscan
188,4,Safe,Etherscan
193,5,Safe,Etherscan
212,15,Reentrancy,Etherscan
229,9,Safe,Etherscan
239,12,Safe,Etherscan
252,8,Safe,Etherscan
261,8,Safe,Etherscan
270,10,Safe,Etherscan
282,3,Safe,Etherscan
289,13,Safe,Etherscan
303,6,Safe,Etherscan
310,7,Safe,Etherscan
322,3,Safe,Etherscan
326,4,Safe,Etherscan
330,5,Safe,Etherscan
355,16,Reentrancy,Etherscan
373,6,Reentrancy,Etherscan
381,5,Safe,Etherscan
388,5,Safe,Etherscan
394,3,Safe,Etherscan
399,4,Safe,Etherscan
404,7,Safe,Etherscan
412,3,Safe,Etherscan
417,3,Safe,Etherscan
421,3,Safe,Etherscan
425,30,Safe,Etherscan
