loc,length,bug type,approach
117,26,Safe,Etherscan
144,39,Safe,Etherscan
184,6,Safe,Etherscan
191,4,Safe,Etherscan
198,5,Safe,Etherscan
204,5,Safe,Etherscan
222,3,Safe,Etherscan
226,4,Safe,Etherscan
231,3,Safe,Etherscan
241,5,Safe,Etherscan
247,3,Safe,Etherscan
301,4,Safe,Etherscan
307,11,Safe,Etherscan
320,10,Safe,Etherscan
332,9,Safe,Etherscan
343,11,Safe,Etherscan
356,24,Safe,Etherscan
382,11,Safe,Etherscan
395,12,Safe,Etherscan
409,22,Safe,Etherscan
433,25,Safe,Etherscan
469,4,Safe,Etherscan
474,4,Safe,Etherscan
479,4,Safe,Etherscan
484,4,Safe,Etherscan
548,14,Safe,Etherscan
580,18,Safe,Etherscan
599,3,Safe,Etherscan
603,3,Safe,Etherscan
607,3,Safe,Etherscan
611,8,Safe,Etherscan
620,7,Safe,Etherscan
628,3,Safe,Etherscan
632,3,Safe,Etherscan
636,3,Safe,Etherscan
640,7,Safe,Etherscan
648,9,Safe,Etherscan
658,4,Safe,Etherscan
663,5,Safe,Etherscan
669,5,Safe,Etherscan
675,5,Safe,Etherscan
681,4,Safe,Etherscan
686,4,Safe,Etherscan
691,3,Safe,Etherscan
695,13,Safe,Etherscan
709,15,Safe,Etherscan
725,4,Safe,Etherscan
730,4,Safe,Etherscan
735,4,Safe,Etherscan
740,4,Safe,Etherscan
745,13,Safe,Etherscan
759,15,Safe,Etherscan
775,4,Safe,Etherscan
780,4,Safe,Etherscan
785,4,Safe,Etherscan
790,4,Safe,Etherscan
795,12,Safe,Etherscan
808,12,Safe,Etherscan
821,4,Safe,Etherscan
826,4,Safe,Etherscan
831,4,Safe,Etherscan
836,4,Safe,Etherscan
886,3,Safe,Etherscan
890,3,Safe,Etherscan
894,3,Safe,Etherscan
898,3,Safe,Etherscan
902,3,Safe,Etherscan
906,3,Safe,Etherscan
910,3,Safe,Etherscan
914,3,Safe,Etherscan
918,3,Safe,Etherscan
922,3,Safe,Etherscan
926,3,Safe,Etherscan
930,3,Safe,Etherscan
934,3,Safe,Etherscan
938,3,Safe,Etherscan
942,3,Safe,Etherscan
946,3,Safe,Etherscan
950,3,Safe,Etherscan
954,3,Safe,Etherscan
958,3,Safe,Etherscan
962,3,Safe,Etherscan
966,3,Safe,Etherscan
970,3,Safe,Etherscan
974,3,Safe,Etherscan
978,3,Safe,Etherscan
982,3,Safe,Etherscan
986,3,Safe,Etherscan
990,3,Safe,Etherscan
994,3,Safe,Etherscan
998,3,Safe,Etherscan
1002,3,Safe,Etherscan
1006,3,Safe,Etherscan
1010,3,Safe,Etherscan
1014,3,Safe,Etherscan
1018,3,Safe,Etherscan
1022,3,Safe,Etherscan
1026,3,Safe,Etherscan
1030,3,Safe,Etherscan
1034,3,Safe,Etherscan
1038,3,Safe,Etherscan
1181,16,Safe,Etherscan
1198,4,Safe,Etherscan
1203,4,Safe,Etherscan
1208,4,Safe,Etherscan
1213,4,Safe,Etherscan
1219,4,Safe,Etherscan
1224,6,Safe,Etherscan
1231,6,Safe,Etherscan
1241,6,Safe,Etherscan
1248,12,Safe,Etherscan
1261,6,Safe,Etherscan
1268,10,Safe,Etherscan
1279,6,Safe,Etherscan
1289,4,Safe,Etherscan
1294,20,Safe,Etherscan
1316,25,Safe,Etherscan
1343,9,Safe,Etherscan
1353,6,Safe,Etherscan
1360,9,Safe,Etherscan
1370,7,Safe,Etherscan
1379,3,Safe,Etherscan
1383,13,Safe,Etherscan
1396,15,Safe,Etherscan
1412,3,Safe,Etherscan
1416,11,Safe,Etherscan
1427,14,Safe,Etherscan
1442,3,Safe,Etherscan
1446,15,Safe,Etherscan
1462,17,Safe,Etherscan
1480,3,Safe,Etherscan
1484,10,Safe,Etherscan
1495,15,Safe,Etherscan
1528,3,Safe,Etherscan
1532,3,Safe,Etherscan
1536,3,Safe,Etherscan
1540,3,Safe,Etherscan
1543,3,Safe,Etherscan
1546,3,Safe,Etherscan
1550,3,Safe,Etherscan
1554,3,Safe,Etherscan
1558,3,Safe,Etherscan
1562,3,Safe,Etherscan
1566,3,Safe,Etherscan
1570,3,Safe,Etherscan
