loc,length,bug type,approach
7,5,Safe,Etherscan
13,4,Safe,Etherscan
18,4,Safe,Etherscan
23,5,Safe,Etherscan
61,10,Safe,Etherscan
112,4,Safe,Etherscan
117,4,Safe,Etherscan
121,4,Safe,Etherscan
125,4,Safe,Etherscan
130,5,Safe,Etherscan
137,3,Safe,Etherscan
141,3,Safe,Etherscan
145,3,Safe,Etherscan
149,3,Safe,Etherscan
155,15,Reentrancy,Etherscan
173,9,Safe,Etherscan
185,12,Safe,Etherscan
199,8,Safe,Etherscan
209,8,Safe,Etherscan
219,10,Safe,Etherscan
231,3,Safe,Etherscan
236,5,Safe,Etherscan
243,6,Safe,Etherscan
250,6,Safe,Etherscan
256,7,Safe,Etherscan
263,4,Safe,Etherscan
267,4,Safe,Etherscan
271,4,Safe,Etherscan
275,4,Safe,Etherscan
279,4,Safe,Etherscan
283,4,Safe,Etherscan
287,4,Safe,Etherscan
291,4,Safe,Etherscan
295,7,Safe,Etherscan
303,11,Safe,Etherscan
315,14,Safe,Etherscan
330,14,Safe,Etherscan
345,3,Safe,Etherscan
348,33,Reentrancy,Etherscan
383,14,Safe,Etherscan
398,5,Safe,Etherscan
404,3,Safe,Etherscan
408,5,Safe,Etherscan
414,5,Reentrancy,Etherscan
420,8,Safe,Etherscan
429,5,Safe,Etherscan
