loc,length,bug type,approach
162,24,Safe,Etherscan
191,4,Safe,Etherscan
197,12,Safe,Etherscan
211,5,Safe,Etherscan
221,16,Safe,Etherscan
239,32,Safe,Etherscan
272,40,Safe,Etherscan
313,40,Safe,Etherscan
355,31,Safe,Etherscan
387,39,Safe,Etherscan
427,39,Safe,Etherscan
468,67,Safe,Etherscan
537,15,Safe,Etherscan
553,15,Safe,Etherscan
569,15,Safe,Etherscan
589,19,Safe,Etherscan
610,20,Safe,Etherscan
632,70,Safe,Etherscan
704,7,Safe,Etherscan
713,47,Safe,Etherscan
762,40,Safe,Etherscan
808,25,Safe,Etherscan
835,27,Safe,Etherscan
864,54,Safe,Etherscan
920,105,Safe,Etherscan
1030,18,Safe,Etherscan
1050,7,Safe,Etherscan
1059,10,Safe,Etherscan
1071,16,Safe,Etherscan
1089,19,Safe,Etherscan
1113,17,Safe,Etherscan
1132,7,Safe,Etherscan
1141,32,Safe,Etherscan
1175,10,Safe,Etherscan
1187,45,Safe,Etherscan
1234,73,Reentrancy,Etherscan
1309,21,Safe,Etherscan
1332,12,Safe,Etherscan
1346,15,Safe,Etherscan
1363,20,time_manipulation,Etherscan
1385,47,Reentrancy,Etherscan
1433,10,Safe,Etherscan
1445,32,Safe,Etherscan
1479,18,Safe,Etherscan
1499,18,Safe,Etherscan
1519,24,Safe,Etherscan
1549,20,Safe,Etherscan
1654,7,Safe,Etherscan
1663,7,Safe,Etherscan
1672,7,Safe,Etherscan
1681,7,Safe,Etherscan
1723,63,Safe,Etherscan
1792,12,Safe,Etherscan
1806,8,Safe,Etherscan
1816,9,Safe,Etherscan
1827,13,Safe,Etherscan
1842,7,Safe,Etherscan
1851,17,Safe,Etherscan
