loc,length,bug type,approach
168,13,Safe,Etherscan
186,4,Safe,Etherscan
192,9,Safe,Etherscan
203,5,Safe,Etherscan
214,16,Safe,Etherscan
232,29,Safe,Etherscan
262,36,Safe,Etherscan
299,37,Safe,Etherscan
338,28,Safe,Etherscan
367,36,Safe,Etherscan
404,36,Safe,Etherscan
442,67,Safe,Etherscan
511,15,Safe,Etherscan
527,15,Safe,Etherscan
543,15,Safe,Etherscan
563,7,Safe,Etherscan
572,19,Safe,Etherscan
593,40,Safe,Etherscan
635,7,Safe,Etherscan
644,26,Safe,Etherscan
672,25,Safe,Etherscan
703,49,Safe,Etherscan
754,46,Safe,Etherscan
802,55,Safe,Etherscan
862,7,Safe,Etherscan
871,14,Safe,Etherscan
887,17,Safe,Etherscan
909,17,Safe,Etherscan
928,7,Safe,Etherscan
937,32,Safe,Etherscan
973,17,Safe,Etherscan
992,62,unchecked_low_calls,Etherscan
1057,12,Safe,Etherscan
1071,19,Safe,Etherscan
1093,40,unchecked_low_calls,Etherscan
1134,7,Safe,Etherscan
1143,29,Safe,Etherscan
1174,18,Safe,Etherscan
1194,18,Safe,Etherscan
1214,23,Safe,Etherscan
1243,18,Safe,Etherscan
1263,9,unchecked_low_calls,Etherscan
1340,7,Safe,Etherscan
1349,7,Safe,Etherscan
1358,8,Safe,Etherscan
1368,8,Safe,Etherscan
1397,61,Safe,Etherscan
1464,12,Safe,Etherscan
1478,8,Safe,Etherscan
1488,9,Safe,Etherscan
1499,13,Safe,Etherscan
1514,7,Safe,Etherscan
1523,17,Safe,Etherscan
