loc,length,bug type,approach
4,5,Safe,Etherscan
10,4,Safe,Etherscan
15,5,Safe,Etherscan
21,3,Safe,Etherscan
67,12,Safe,Etherscan
80,11,Safe,Etherscan
92,3,Safe,Etherscan
96,5,Safe,Etherscan
102,3,Safe,Etherscan
115,3,Safe,Etherscan
118,5,Safe,Etherscan
123,6,Safe,Etherscan
142,3,Safe,Etherscan
146,3,Safe,Etherscan
168,8,Safe,Etherscan
177,3,Safe,Etherscan
181,4,Safe,Etherscan
186,4,Safe,Etherscan
191,4,Safe,Etherscan
196,5,Safe,Etherscan
202,5,Safe,Etherscan
208,5,Safe,Etherscan
214,4,Safe,Etherscan
219,6,Reentrancy,Etherscan
226,7,Safe,Etherscan
234,7,Safe,Etherscan
242,3,Safe,Etherscan
246,5,Safe,Etherscan
252,12,Safe,Etherscan
265,15,Safe,Etherscan
281,7,Safe,Etherscan
289,11,Safe,Etherscan
301,4,Safe,Etherscan
306,6,Safe,Etherscan
