loc,length,bug type,approach
18,3,Safe,Etherscan
23,4,Safe,Etherscan
29,4,Safe,Etherscan
35,3,Safe,Etherscan
40,5,Safe,Etherscan
53,12,Safe,Etherscan
67,6,Safe,Etherscan
75,4,Safe,Etherscan
81,5,Safe,Etherscan
105,3,Safe,Etherscan
110,10,Safe,Etherscan
122,14,Safe,Etherscan
159,3,Safe,Etherscan
164,9,Safe,Etherscan
175,3,Safe,Etherscan
208,18,Safe,Etherscan
228,5,Safe,Etherscan
235,10,Safe,Etherscan
247,12,Safe,Etherscan
261,16,Safe,Etherscan
290,4,Safe,Etherscan
295,4,Safe,Etherscan
301,15,Safe,Etherscan
318,5,Safe,Etherscan
333,3,Safe,Etherscan
337,10,Safe,Etherscan
375,18,Reentrancy,Etherscan
395,17,Reentrancy,Etherscan
414,16,Reentrancy,Etherscan
432,18,Reentrancy,Etherscan
452,18,Reentrancy,Etherscan
486,5,Safe,Etherscan
493,5,Safe,Etherscan
517,5,Safe,Etherscan
524,3,Safe,Etherscan
529,14,Reentrancy,Etherscan
545,5,Safe,Etherscan
552,7,Safe,Etherscan
561,12,Safe,Etherscan
575,7,Safe,Etherscan
584,7,Safe,Etherscan
693,22,Safe,Etherscan
759,7,Safe,Etherscan
768,3,Safe,Etherscan
773,4,Safe,Etherscan
778,4,Safe,Etherscan
783,4,Safe,Etherscan
788,4,Safe,Etherscan
793,4,Safe,Etherscan
798,10,Safe,Etherscan
809,4,Safe,Etherscan
815,10,Safe,Etherscan
827,10,Safe,Etherscan
839,10,Safe,Etherscan
851,25,Safe,Etherscan
878,19,Safe,Etherscan
899,8,Safe,Etherscan
908,3,Safe,Etherscan
912,3,Safe,Etherscan
916,3,Safe,Etherscan
920,14,Safe,Etherscan
936,8,Safe,Etherscan
945,8,Safe,Etherscan
955,26,Safe,Etherscan
983,42,Safe,Etherscan
1027,22,Safe,Etherscan
1051,16,Safe,Etherscan
1069,10,Safe,Etherscan
1081,10,Safe,Etherscan
1093,10,Safe,Etherscan
1105,10,Safe,Etherscan
1117,10,Safe,Etherscan
1129,3,Safe,Etherscan
1133,3,Safe,Etherscan
1217,8,Safe,Etherscan
1227,3,Safe,Etherscan
1284,16,Safe,Etherscan
1303,8,Safe,Etherscan
1313,62,Safe,Etherscan
1377,13,Safe,Etherscan
1392,26,Safe,Etherscan
1420,22,Safe,Etherscan
1444,22,Safe,Etherscan
1468,23,Safe,Etherscan
1493,20,Safe,Etherscan
1515,17,Safe,Etherscan
1534,3,Safe,Etherscan
1538,3,Safe,Etherscan
1542,3,Safe,Etherscan
1546,3,Safe,Etherscan
1550,3,Safe,Etherscan
1598,3,Safe,Etherscan
1603,3,Safe,Etherscan
1608,14,Safe,Etherscan
1624,7,Safe,Etherscan
1633,3,Safe,Etherscan
1638,4,Safe,Etherscan
1644,10,Safe,Etherscan
1656,4,Safe,Etherscan
1662,5,Safe,Etherscan
1669,5,Safe,Etherscan
1676,3,Safe,Etherscan
1685,26,Safe,Etherscan
1713,13,Safe,Etherscan
1728,36,Safe,Etherscan
1766,20,Safe,Etherscan
1788,42,Safe,Etherscan
1832,3,Safe,Etherscan
1837,25,Safe,Etherscan
1864,3,Safe,Etherscan
1869,37,Safe,Etherscan
1908,3,Safe,Etherscan
1913,17,Safe,Etherscan
1932,3,Safe,Etherscan
1937,3,Safe,Etherscan
1942,3,Safe,Etherscan
1954,37,Safe,Etherscan
1993,11,Safe,Etherscan
2027,28,Safe,Etherscan
2056,5,Safe,Etherscan
2062,4,Safe,Etherscan
2067,7,Safe,Etherscan
2075,9,Safe,Etherscan
2085,4,Safe,Etherscan
2090,24,Safe,Etherscan
2115,22,Safe,Etherscan
2138,28,Safe,Etherscan
2167,7,Safe,Etherscan
2175,20,Safe,Etherscan
2196,7,Safe,Etherscan
2204,8,Safe,Etherscan
2213,10,Safe,Etherscan
2224,30,Safe,Etherscan
2255,23,Safe,Etherscan
2279,21,Safe,Etherscan
2405,4,Safe,Etherscan
2411,4,Safe,Etherscan
2417,30,Safe,Etherscan
2449,4,Safe,Etherscan
2455,3,Safe,Etherscan
2467,43,Safe,Etherscan
2512,3,Safe,Etherscan
2517,4,Safe,Etherscan
2522,3,Safe,Etherscan
2527,4,Safe,Etherscan
2533,3,Safe,Etherscan
2538,4,Safe,Etherscan
2544,3,Safe,Etherscan
2549,3,Safe,Etherscan
2554,10,Safe,Etherscan
2566,3,Safe,Etherscan
2571,5,Safe,Etherscan
2578,3,Safe,Etherscan
2583,3,Safe,Etherscan
2588,3,Safe,Etherscan
2593,3,Safe,Etherscan
2598,3,Safe,Etherscan
2603,3,Safe,Etherscan
2608,59,Safe,Etherscan
2669,27,Safe,Etherscan
2698,4,Safe,Etherscan
2704,3,Safe,Etherscan
2709,8,Safe,Etherscan
2719,14,Safe,Etherscan
2735,38,Safe,Etherscan
2775,23,Safe,Etherscan
2800,58,Safe,Etherscan
2860,40,Safe,Etherscan
2902,59,Safe,Etherscan
2963,4,Safe,Etherscan
2969,4,Safe,Etherscan
2983,4,Safe,Etherscan
2989,25,Safe,Etherscan
3015,27,Safe,Etherscan
