loc,length,bug type,approach
212,33,Safe,Etherscan
250,4,Safe,Etherscan
256,8,Safe,Etherscan
266,5,Safe,Etherscan
273,4,Safe,Etherscan
283,17,Safe,Etherscan
303,29,Safe,Etherscan
333,41,Safe,Etherscan
375,41,Safe,Etherscan
418,32,Safe,Etherscan
451,40,Safe,Etherscan
492,40,Safe,Etherscan
534,67,Safe,Etherscan
603,15,Safe,Etherscan
619,15,Safe,Etherscan
635,15,Safe,Etherscan
655,17,Safe,Etherscan
674,19,Safe,Etherscan
695,40,Safe,Etherscan
737,7,Safe,Etherscan
746,26,Safe,Etherscan
773,16,Safe,Etherscan
791,25,Safe,Etherscan
822,48,Safe,Etherscan
872,46,Safe,Etherscan
920,110,Safe,Etherscan
1035,7,Safe,Etherscan
1044,14,Safe,Etherscan
1060,17,Safe,Etherscan
1082,17,Safe,Etherscan
1101,7,Safe,Etherscan
1110,32,Safe,Etherscan
1144,21,time_manipulation,Etherscan
1167,17,Safe,Etherscan
1186,79,Reentrancy,Etherscan
1267,12,Safe,Etherscan
1281,19,Safe,Etherscan
1301,15,Safe,Etherscan
1317,17,time_manipulation,Etherscan
1337,52,Reentrancy,Etherscan
1390,10,Safe,Etherscan
1402,36,Safe,Etherscan
1440,18,Safe,Etherscan
1460,18,Safe,Etherscan
1480,24,Safe,Etherscan
1510,21,Safe,Etherscan
1532,11,Safe,Etherscan
1550,12,Safe,Etherscan
1564,6,Safe,Etherscan
1572,8,Safe,Etherscan
1582,9,Safe,Etherscan
1593,13,Safe,Etherscan
1608,7,Safe,Etherscan
1617,17,Safe,Etherscan
1638,22,Safe,Etherscan
1661,16,Safe,Etherscan
1678,7,Safe,Etherscan
1689,63,Safe,Etherscan
1757,7,Safe,Etherscan
1766,7,Safe,Etherscan
1775,7,Safe,Etherscan
1784,7,Safe,Etherscan
