loc,length,bug type,approach
171,31,Safe,Etherscan
207,4,Safe,Etherscan
213,8,Safe,Etherscan
223,5,Safe,Etherscan
234,16,Safe,Etherscan
252,32,Safe,Etherscan
285,40,Safe,Etherscan
326,40,Safe,Etherscan
368,31,Safe,Etherscan
400,39,Safe,Etherscan
440,39,Safe,Etherscan
481,67,Safe,Etherscan
550,15,Safe,Etherscan
566,15,Safe,Etherscan
582,15,Safe,Etherscan
602,17,Safe,Etherscan
621,19,Safe,Etherscan
642,40,Safe,Etherscan
684,7,Safe,Etherscan
693,26,Safe,Etherscan
721,25,Safe,Etherscan
752,49,Safe,Etherscan
803,46,Safe,Etherscan
851,108,Safe,Etherscan
964,7,Safe,Etherscan
973,14,Safe,Etherscan
989,17,Safe,Etherscan
1011,17,Safe,Etherscan
1030,7,Safe,Etherscan
1039,32,Safe,Etherscan
1073,10,Safe,Etherscan
1085,17,Safe,Etherscan
1104,62,Safe,Etherscan
1168,12,Safe,Etherscan
1182,19,Safe,Etherscan
1203,20,time_manipulation,Etherscan
1225,52,Reentrancy,Etherscan
1278,10,Safe,Etherscan
1290,32,Safe,Etherscan
1324,18,Safe,Etherscan
1344,18,Safe,Etherscan
1364,24,Safe,Etherscan
1394,18,Safe,Etherscan
1495,7,Safe,Etherscan
1504,7,Safe,Etherscan
1513,7,Safe,Etherscan
1522,7,Safe,Etherscan
1551,63,Safe,Etherscan
1620,12,Safe,Etherscan
1634,8,Safe,Etherscan
1644,9,Safe,Etherscan
1655,13,Safe,Etherscan
1670,7,Safe,Etherscan
1679,17,Safe,Etherscan
