loc,length,bug type,approach
34,3,Safe,Etherscan
38,4,Safe,Etherscan
43,4,Safe,Etherscan
48,4,Safe,Etherscan
53,3,Safe,Etherscan
57,3,Safe,Etherscan
64,5,Safe,Etherscan
71,6,Safe,Etherscan
81,6,Safe,Etherscan
90,12,Safe,Etherscan
103,13,Safe,Etherscan
119,12,Safe,Etherscan
132,13,Safe,Etherscan
159,11,Safe,Etherscan
177,10,Safe,Etherscan
202,4,Safe,Etherscan
208,15,Safe,Etherscan
261,72,Safe,Etherscan
337,40,Safe,Etherscan
381,11,Safe,Etherscan
396,5,Safe,Etherscan
406,3,Safe,Etherscan
414,3,Safe,Etherscan
422,3,Safe,Etherscan
430,4,Safe,Etherscan
439,4,Safe,Etherscan
448,4,Safe,Etherscan
457,3,Safe,Etherscan
465,3,Safe,Etherscan
473,3,Safe,Etherscan
481,4,Safe,Etherscan
490,4,Safe,Etherscan
499,4,Safe,Etherscan
525,10,Safe,Etherscan
541,12,Safe,Etherscan
558,5,Safe,Etherscan
568,3,Safe,Etherscan
575,3,Safe,Etherscan
581,3,Safe,Etherscan
614,6,Safe,Etherscan
623,5,Safe,Etherscan
629,6,Safe,Etherscan
637,11,Safe,Etherscan
649,15,Safe,Etherscan
665,5,Safe,Etherscan
671,7,Safe,Etherscan
683,3,Safe,Etherscan
691,3,Safe,Etherscan
699,4,Safe,Etherscan
708,4,Safe,Etherscan
736,5,Safe,Etherscan
743,7,Safe,Etherscan
752,10,time_manipulation,Etherscan
763,3,Safe,Etherscan
769,3,Safe,Etherscan
775,3,Safe,Etherscan
782,7,Safe,Etherscan
793,6,Safe,Etherscan
809,26,Safe,Etherscan
843,4,Safe,Etherscan
849,7,Safe,Etherscan
870,11,Safe,Etherscan
882,6,Safe,Etherscan
895,7,Safe,Etherscan
903,7,Safe,Etherscan
915,3,Safe,Etherscan
923,3,Safe,Etherscan
931,3,Safe,Etherscan
939,4,Safe,Etherscan
948,4,Safe,Etherscan
957,4,Safe,Etherscan
968,3,Safe,Etherscan
972,3,Safe,Etherscan
976,3,Safe,Etherscan
980,3,Safe,Etherscan
984,3,Safe,Etherscan
988,3,Safe,Etherscan
994,3,Safe,Etherscan
998,3,Safe,Etherscan
1002,3,Safe,Etherscan
1006,3,Safe,Etherscan
1010,3,Safe,Etherscan
1014,3,Safe,Etherscan
1020,3,Safe,Etherscan
1024,3,Safe,Etherscan
1032,3,Safe,Etherscan
1036,3,Safe,Etherscan
1040,3,Safe,Etherscan
1044,3,Safe,Etherscan
1048,3,Safe,Etherscan
1052,3,Safe,Etherscan
1060,3,Safe,Etherscan
1064,3,Safe,Etherscan
1068,3,Safe,Etherscan
1072,3,Safe,Etherscan
1076,26,Safe,Etherscan
1103,3,Safe,Etherscan
1107,3,Safe,Etherscan
1111,3,Safe,Etherscan
1134,4,Safe,Etherscan
1139,4,Safe,Etherscan
1144,4,Safe,Etherscan
1149,4,Safe,Etherscan
1154,11,Safe,Etherscan
1179,20,Safe,Etherscan
1224,3,time_manipulation,Etherscan
1228,4,time_manipulation,Etherscan
1233,6,Reentrancy,Etherscan
1240,3,Safe,Etherscan
1251,3,Safe,Etherscan
1255,5,Safe,Etherscan
1261,4,Safe,Etherscan
1266,4,Safe,Etherscan
1280,6,Safe,Etherscan
1287,12,Safe,Etherscan
1300,4,Safe,Etherscan
1305,4,Safe,Etherscan
1310,3,Safe,Etherscan
1314,3,Safe,Etherscan
1318,3,Safe,Etherscan
1322,3,Safe,Etherscan
1326,38,Safe,Etherscan
1379,4,Safe,Etherscan
1386,4,Safe,Etherscan
1393,3,Safe,Etherscan
1399,3,Safe,Etherscan
1404,3,Safe,Etherscan
1409,18,Safe,Etherscan
1443,6,time_manipulation,Etherscan
1450,9,time_manipulation,Etherscan
1472,8,time_manipulation,Etherscan
1481,8,time_manipulation,Etherscan
1555,7,Safe,Etherscan
1563,7,Safe,Etherscan
1576,23,Safe,Etherscan
1605,23,Safe,Etherscan
1633,26,Safe,Etherscan
1664,26,Safe,Etherscan
1691,3,Safe,Etherscan
1702,28,Safe,Etherscan
1731,3,Safe,Etherscan
1735,3,Safe,Etherscan
1741,73,Safe,Etherscan
1815,12,Safe,Etherscan
1828,16,Safe,Etherscan
1845,74,Safe,Etherscan
1920,66,Safe,Etherscan
1987,49,Safe,Etherscan
2037,63,Safe,Etherscan
2105,20,Safe,Etherscan
2127,27,Safe,Etherscan
2155,41,Safe,Etherscan
2201,56,Safe,Etherscan
2258,29,Safe,Etherscan
2288,28,Safe,Etherscan
2320,13,Safe,Etherscan
2334,40,Safe,Etherscan
2376,7,Safe,Etherscan
2384,4,Safe,Etherscan
2389,4,Safe,Etherscan
2394,38,Safe,Etherscan
2433,28,Safe,Etherscan
2462,19,Safe,Etherscan
2482,12,Safe,Etherscan
2495,34,Safe,Etherscan
2530,24,Safe,Etherscan
2555,27,Safe,Etherscan
2588,59,Safe,Etherscan
2648,7,Safe,Etherscan
2656,6,Safe,Etherscan
2663,4,Safe,Etherscan
2668,13,Safe,Etherscan
2765,5,Safe,Etherscan
2773,7,Safe,Etherscan
2785,24,Safe,Etherscan
2825,17,Safe,Etherscan
2847,16,Safe,Etherscan
2869,13,Safe,Etherscan
2888,12,Safe,Etherscan
2902,39,Safe,Etherscan
2944,62,Safe,Etherscan
3007,24,Safe,Etherscan
3033,25,Safe,Etherscan
3059,17,Safe,Etherscan
3077,17,Safe,Etherscan
3095,51,Safe,Etherscan
3147,29,Safe,Etherscan
3177,12,Safe,Etherscan
3192,41,Safe,Etherscan
3234,11,Safe,Etherscan
3256,15,Reentrancy,Etherscan
3272,10,Safe,Etherscan
3291,33,Safe,Etherscan
3335,49,Safe,Etherscan
3385,13,Safe,Etherscan
3418,51,Safe,Etherscan
3473,13,Safe,Etherscan
3488,8,Safe,Etherscan
3498,6,Safe,Etherscan
