loc,length,bug type,approach
7,3,Safe,Etherscan
11,4,Safe,Etherscan
24,4,Safe,Etherscan
30,4,Safe,Etherscan
35,4,Safe,Etherscan
49,5,Safe,Etherscan
61,31,Safe,Etherscan
175,19,Safe,Etherscan
197,9,Safe,Etherscan
208,8,Safe,Etherscan
218,8,Reentrancy,Etherscan
228,21,Safe,Etherscan
251,11,Safe,Etherscan
264,21,Safe,Etherscan
287,40,Safe,Etherscan
330,31,Safe,Etherscan
363,12,Safe,Etherscan
377,6,Safe,Etherscan
394,6,Safe,Etherscan
402,6,Safe,Etherscan
410,6,Safe,Etherscan
418,6,Safe,Etherscan
426,6,Safe,Etherscan
436,7,Safe,Etherscan
445,7,Safe,Etherscan
454,8,Safe,Etherscan
464,8,Safe,Etherscan
474,7,Safe,Etherscan
483,7,Safe,Etherscan
492,16,Safe,Etherscan
510,16,Safe,Etherscan
528,11,Safe,Etherscan
541,12,Safe,Etherscan
555,6,Safe,Etherscan
566,20,Safe,Etherscan
587,50,Safe,Etherscan
639,56,Safe,Etherscan
697,29,Safe,Etherscan
728,23,Safe,Etherscan
755,8,Safe,Etherscan
769,8,Safe,Etherscan
779,6,Safe,Etherscan
787,4,Safe,Etherscan
793,5,Safe,Etherscan
