loc,length,bug type,approach
16,3,Safe,Etherscan
24,20,Safe,Etherscan
46,2,Safe,Etherscan
50,4,Safe,Etherscan
62,12,Safe,Etherscan
88,5,Safe,Etherscan
95,6,Safe,Etherscan
103,4,Safe,Etherscan
109,9,Safe,Etherscan
131,7,Safe,Etherscan
140,5,Safe,Etherscan
147,3,Safe,Etherscan
152,3,Safe,Etherscan
157,5,Safe,Etherscan
164,3,Safe,Etherscan
169,4,Reentrancy,Etherscan
175,6,Safe,Etherscan
183,7,Safe,Etherscan
192,4,Safe,Etherscan
206,5,Safe,Etherscan
213,6,Reentrancy,Etherscan
221,5,Safe,Etherscan
243,3,Safe,Etherscan
248,4,Safe,Etherscan
254,4,Safe,Etherscan
260,3,Safe,Etherscan
265,5,Safe,Etherscan
280,4,Safe,Etherscan
289,3,Safe,Etherscan
294,4,Safe,Etherscan
300,4,Safe,Etherscan
306,4,Safe,Etherscan
312,4,Safe,Etherscan
318,3,Safe,Etherscan
323,3,Safe,Etherscan
328,3,Safe,Etherscan
344,4,Safe,Etherscan
350,5,Safe,Etherscan
357,3,Safe,Etherscan
362,4,Safe,Etherscan
378,6,Safe,Etherscan
386,4,Safe,Etherscan
392,3,Safe,Etherscan
