loc,length,bug type,approach
9,8,Safe,Etherscan
18,4,Safe,Etherscan
23,5,Safe,Etherscan
93,4,Safe,Etherscan
100,6,Safe,Etherscan
119,3,Safe,Etherscan
124,3,Safe,Etherscan
130,6,Safe,Etherscan
139,7,Safe,Etherscan
148,13,Safe,Etherscan
163,7,Safe,Etherscan
175,12,Safe,Etherscan
189,5,Safe,Etherscan
197,34,Safe,Etherscan
234,6,Safe,Etherscan
242,8,Safe,Etherscan
252,9,Safe,Etherscan
263,8,Safe,Etherscan
275,4,Safe,Etherscan
282,4,Safe,Etherscan
291,12,Safe,Etherscan
308,19,Safe,Etherscan
329,3,Safe,Etherscan
