loc,length,bug type,approach
7,12,Safe,Etherscan
21,7,Safe,Etherscan
30,6,Safe,Etherscan
38,6,Safe,Etherscan
46,4,Safe,Etherscan
54,9,Safe,Etherscan
64,10,Safe,Etherscan
75,9,Safe,Etherscan
98,3,Safe,Etherscan
103,4,Safe,Etherscan
109,4,Safe,Etherscan
115,3,Safe,Etherscan
120,5,Safe,Etherscan
213,3,Safe,Etherscan
218,5,time_manipulation,Etherscan
225,3,Safe,Etherscan
245,12,Safe,Etherscan
259,3,time_manipulation,Etherscan
264,3,Safe,Etherscan
269,3,Safe,Etherscan
274,3,Safe,Etherscan
279,3,Safe,Etherscan
284,3,Safe,Etherscan
289,3,Safe,Etherscan
294,3,Safe,Etherscan
299,4,Safe,Etherscan
305,4,time_manipulation,Etherscan
311,4,time_manipulation,Etherscan
317,10,Safe,Etherscan
329,17,Safe,Etherscan
352,3,Safe,Etherscan
357,15,Safe,Etherscan
374,8,Safe,Etherscan
384,9,Reentrancy,Etherscan
434,3,Safe,Etherscan
439,5,time_manipulation,Etherscan
461,12,Safe,Etherscan
475,3,Safe,Etherscan
480,3,Safe,Etherscan
485,3,time_manipulation,Etherscan
490,3,Safe,Etherscan
495,3,Safe,Etherscan
500,3,Safe,Etherscan
505,3,Safe,Etherscan
510,3,Safe,Etherscan
515,3,Safe,Etherscan
520,10,Safe,Etherscan
532,4,time_manipulation,Etherscan
538,4,time_manipulation,Etherscan
548,3,Safe,Etherscan
553,24,Safe,Etherscan
579,9,Safe,Etherscan
590,3,Safe,Etherscan
595,3,Safe,Etherscan
600,3,Safe,Etherscan
605,9,Reentrancy,Etherscan
