loc,length,bug type,approach
121,3,Safe,Etherscan
132,25,Safe,Etherscan
164,13,Safe,Etherscan
191,28,Safe,Etherscan
226,10,Safe,Etherscan
243,10,Safe,Etherscan
263,26,Safe,Etherscan
298,16,Safe,Etherscan
320,38,Safe,Etherscan
364,20,Safe,Etherscan
391,9,Safe,Etherscan
407,13,Safe,Etherscan
425,22,Safe,Etherscan
453,22,Safe,Etherscan
482,9,Safe,Etherscan
497,22,Safe,Etherscan
526,9,Safe,Etherscan
541,22,Safe,Etherscan
569,21,Safe,Etherscan
597,41,Safe,Etherscan
646,33,Reentrancy,Etherscan
686,16,Safe,Etherscan
711,19,Safe,Etherscan
739,10,Safe,Etherscan
753,5,Safe,Etherscan
762,4,Safe,Etherscan
770,4,Safe,Etherscan
778,4,Safe,Etherscan
786,4,Safe,Etherscan
793,9,Safe,Etherscan
806,9,Safe,Etherscan
820,5,Safe,Etherscan
830,4,Safe,Etherscan
844,7,Safe,Etherscan
857,7,Safe,Etherscan
868,7,Safe,Etherscan
879,7,Safe,Etherscan
975,12,Safe,Etherscan
990,8,Safe,Etherscan
1001,9,Safe,Etherscan
1013,12,Safe,Etherscan
1028,7,Safe,Etherscan
1038,17,Safe,Etherscan
