loc,length,bug type,approach
17,4,Safe,Etherscan
22,5,Safe,Etherscan
28,7,Safe,Etherscan
72,6,Safe,Etherscan
79,10,Safe,Etherscan
90,7,Safe,Etherscan
98,7,Safe,Etherscan
106,7,Safe,Etherscan
114,7,Safe,Etherscan
122,7,Safe,Etherscan
130,7,Safe,Etherscan
138,7,Safe,Etherscan
146,7,Safe,Etherscan
154,6,Safe,Etherscan
161,7,Safe,Etherscan
170,8,Safe,Etherscan
179,41,Reentrancy,Etherscan
222,73,Safe,Etherscan
297,14,Safe,Etherscan
312,10,Safe,Etherscan
324,7,Safe,Etherscan
333,7,Safe,Etherscan
341,7,Safe,Etherscan
349,7,Safe,Etherscan
366,8,Safe,Etherscan
375,6,Safe,Etherscan
382,4,Safe,Etherscan
387,5,Safe,Etherscan
