loc,length,bug type,approach
9,4,Safe,Etherscan
15,4,Safe,Etherscan
20,4,Safe,Etherscan
89,5,Safe,Etherscan
97,7,Safe,Etherscan
106,6,Safe,Etherscan
113,8,Reentrancy,Etherscan
123,21,Safe,Etherscan
146,11,Safe,Etherscan
159,21,Safe,Etherscan
182,37,Safe,Etherscan
222,31,Safe,Etherscan
257,7,Safe,Etherscan
266,7,Safe,Etherscan
275,8,Safe,Etherscan
285,8,Safe,Etherscan
295,7,Safe,Etherscan
304,7,Safe,Etherscan
313,16,Safe,Etherscan
331,16,Safe,Etherscan
349,11,Safe,Etherscan
362,12,Safe,Etherscan
376,6,Safe,Etherscan
387,20,Safe,Etherscan
409,73,Safe,Etherscan
484,29,Safe,Etherscan
515,23,Safe,Etherscan
542,8,Safe,Etherscan
556,8,Safe,Etherscan
566,6,Safe,Etherscan
574,4,Safe,Etherscan
580,5,Safe,Etherscan
