loc,length,bug type,approach
172,24,Safe,Etherscan
201,4,Safe,Etherscan
207,8,Safe,Etherscan
217,5,Safe,Etherscan
228,16,Safe,Etherscan
246,32,Safe,Etherscan
279,40,Safe,Etherscan
320,40,Safe,Etherscan
362,31,Safe,Etherscan
394,39,Safe,Etherscan
434,39,Safe,Etherscan
475,67,Safe,Etherscan
544,15,Safe,Etherscan
560,15,Safe,Etherscan
576,15,Safe,Etherscan
596,17,Safe,Etherscan
615,19,Safe,Etherscan
636,40,Safe,Etherscan
678,7,Safe,Etherscan
687,26,Safe,Etherscan
715,25,Safe,Etherscan
746,49,Safe,Etherscan
797,46,Safe,Etherscan
845,108,Safe,Etherscan
958,7,Safe,Etherscan
967,14,Safe,Etherscan
983,17,Safe,Etherscan
1005,17,Safe,Etherscan
1024,7,Safe,Etherscan
1033,32,Safe,Etherscan
1067,10,Safe,Etherscan
1079,17,Safe,Etherscan
1098,62,Safe,Etherscan
1162,12,Safe,Etherscan
1176,19,Safe,Etherscan
1197,20,time_manipulation,Etherscan
1219,52,Reentrancy,Etherscan
1272,10,Safe,Etherscan
1284,32,Safe,Etherscan
1318,18,Safe,Etherscan
1338,18,Safe,Etherscan
1358,24,Safe,Etherscan
1388,18,Safe,Etherscan
1489,7,Safe,Etherscan
1498,7,Safe,Etherscan
1507,7,Safe,Etherscan
1516,7,Safe,Etherscan
1545,63,Safe,Etherscan
1614,12,Safe,Etherscan
1628,8,Safe,Etherscan
1638,9,Safe,Etherscan
1649,13,Safe,Etherscan
1664,7,Safe,Etherscan
1673,17,Safe,Etherscan
