loc,length,bug type,approach
12,4,Safe,Etherscan
17,3,Safe,Etherscan
22,5,Safe,Etherscan
36,4,Safe,Etherscan
45,7,Safe,Etherscan
54,5,Safe,Etherscan
96,18,Safe,Etherscan
116,7,Safe,Etherscan
125,25,Safe,Etherscan
152,10,Safe,Etherscan
164,3,Safe,Etherscan
169,8,Safe,Etherscan
179,22,Safe,Etherscan
203,3,Safe,Etherscan
208,29,Safe,Etherscan
239,3,Safe,Etherscan
244,35,Safe,Etherscan
281,3,Safe,Etherscan
286,43,Safe,Etherscan
331,5,Safe,Etherscan
338,18,Safe,Etherscan
358,22,Safe,Etherscan
382,20,Safe,Etherscan
404,21,Safe,Etherscan
428,38,Safe,Etherscan
469,37,Safe,Etherscan
508,6,Safe,Etherscan
516,5,Safe,Etherscan
523,13,Safe,Etherscan
538,3,Safe,Etherscan
543,12,Safe,Etherscan
557,3,Safe,Etherscan
562,7,Safe,Etherscan
571,3,Safe,Etherscan
576,8,Safe,Etherscan
586,23,Safe,Etherscan
623,3,Safe,Etherscan
628,4,Safe,Etherscan
634,3,Safe,Etherscan
639,3,Safe,Etherscan
658,3,Safe,Etherscan
662,18,Safe,Etherscan
716,4,Safe,Etherscan
722,12,Safe,Etherscan
736,15,Safe,Etherscan
753,5,Safe,Etherscan
760,5,Safe,Etherscan
767,5,Reentrancy,Etherscan
774,20,Safe,Etherscan
824,5,Safe,Etherscan
831,5,Safe,Etherscan
838,5,Safe,Etherscan
845,5,Safe,Etherscan
852,4,Safe,Etherscan
858,3,Safe,Etherscan
863,3,Safe,Etherscan
868,3,Safe,Etherscan
873,8,Safe,Etherscan
883,3,Safe,Etherscan
912,15,Safe,Etherscan
931,28,Safe,Etherscan
961,5,Safe,Etherscan
968,5,Safe,Etherscan
975,5,Safe,Etherscan
982,5,Safe,Etherscan
989,7,Safe,Etherscan
998,3,Safe,Etherscan
