loc,length,bug type,approach
4,3,Safe,Etherscan
8,4,Safe,Etherscan
13,3,Safe,Etherscan
17,4,Safe,Etherscan
27,4,Safe,Etherscan
33,4,Safe,Etherscan
39,4,Safe,Etherscan
46,4,Safe,Etherscan
52,4,Safe,Etherscan
129,14,Safe,Etherscan
145,39,Safe,Etherscan
185,9,Safe,Etherscan
195,3,Safe,Etherscan
199,3,Safe,Etherscan
203,111,Reentrancy,Etherscan
316,16,Reentrancy,Etherscan
334,3,Safe,Etherscan
339,7,Safe,Etherscan
349,5,Safe,Etherscan
356,5,Safe,Etherscan
363,5,Safe,Etherscan
370,5,Safe,Etherscan
377,5,Safe,Etherscan
384,8,Reentrancy,Etherscan
394,10,Reentrancy,Etherscan
406,5,Safe,Etherscan
413,5,Safe,Etherscan
420,5,Safe,Etherscan
427,5,Safe,Etherscan
434,5,Safe,Etherscan
