loc,length,bug type,approach
9,37,Safe,Etherscan
48,11,Safe,Etherscan
81,28,Safe,Etherscan
110,5,Safe,Etherscan
116,4,Safe,Etherscan
121,7,Safe,Etherscan
129,9,Safe,Etherscan
139,4,Safe,Etherscan
144,24,Safe,Etherscan
169,22,Safe,Etherscan
192,28,Safe,Etherscan
221,7,Safe,Etherscan
229,20,Safe,Etherscan
250,7,Safe,Etherscan
258,8,Safe,Etherscan
267,10,Safe,Etherscan
278,30,Safe,Etherscan
309,23,Safe,Etherscan
333,21,Safe,Etherscan
397,3,Safe,Etherscan
402,3,Safe,Etherscan
407,14,Safe,Etherscan
423,7,Safe,Etherscan
432,3,Safe,Etherscan
437,4,Safe,Etherscan
443,10,Safe,Etherscan
455,4,Safe,Etherscan
461,5,Safe,Etherscan
468,5,Safe,Etherscan
475,3,Safe,Etherscan
484,26,Safe,Etherscan
512,13,Safe,Etherscan
527,36,Safe,Etherscan
565,20,Safe,Etherscan
587,42,Safe,Etherscan
631,3,Safe,Etherscan
636,25,Safe,Etherscan
663,3,Safe,Etherscan
668,37,Safe,Etherscan
707,3,Safe,Etherscan
712,17,Safe,Etherscan
731,3,Safe,Etherscan
736,3,Safe,Etherscan
741,3,Safe,Etherscan
758,3,Safe,Etherscan
763,4,Safe,Etherscan
769,4,Safe,Etherscan
775,3,Safe,Etherscan
780,5,Safe,Etherscan
825,3,Safe,Etherscan
830,9,Safe,Etherscan
841,3,Safe,Etherscan
854,18,Safe,Etherscan
874,5,Safe,Etherscan
881,10,Safe,Etherscan
893,12,Safe,Etherscan
907,16,Safe,Etherscan
938,4,Safe,Etherscan
943,4,Safe,Etherscan
949,15,Safe,Etherscan
966,5,Safe,Etherscan
979,3,Safe,Etherscan
983,10,Safe,Etherscan
1001,12,Safe,Etherscan
1015,6,Safe,Etherscan
1023,4,Safe,Etherscan
1029,5,Safe,Etherscan
1051,18,Reentrancy,Etherscan
1071,17,Reentrancy,Etherscan
1090,16,Reentrancy,Etherscan
1108,18,Reentrancy,Etherscan
1128,18,Reentrancy,Etherscan
1160,5,Safe,Etherscan
1167,5,Safe,Etherscan
1189,3,Safe,Etherscan
1194,10,Safe,Etherscan
1206,14,Safe,Etherscan
1237,5,Safe,Etherscan
1244,3,Safe,Etherscan
1249,14,Reentrancy,Etherscan
1265,5,Safe,Etherscan
1272,7,Safe,Etherscan
1281,12,Safe,Etherscan
1295,7,Safe,Etherscan
1304,7,Safe,Etherscan
1416,8,Safe,Etherscan
1426,3,Safe,Etherscan
1595,4,Safe,Etherscan
1601,4,Safe,Etherscan
1607,30,Safe,Etherscan
1639,4,Safe,Etherscan
1645,3,Safe,Etherscan
1657,43,Safe,Etherscan
1702,3,Safe,Etherscan
1707,4,Safe,Etherscan
1712,3,Safe,Etherscan
1717,4,Safe,Etherscan
1723,3,Safe,Etherscan
1728,4,Safe,Etherscan
1734,3,Safe,Etherscan
1739,3,Safe,Etherscan
1744,10,Safe,Etherscan
1756,3,Safe,Etherscan
1761,5,Safe,Etherscan
1768,3,Safe,Etherscan
1773,3,Safe,Etherscan
1778,3,Safe,Etherscan
1783,3,Safe,Etherscan
1788,3,Safe,Etherscan
1793,3,Safe,Etherscan
1798,59,Safe,Etherscan
1859,27,Safe,Etherscan
1888,4,Safe,Etherscan
1894,3,Safe,Etherscan
1899,8,Safe,Etherscan
1909,14,Safe,Etherscan
1925,38,Safe,Etherscan
1965,23,Safe,Etherscan
1990,58,Safe,Etherscan
2050,40,Safe,Etherscan
2092,59,Safe,Etherscan
2153,4,Safe,Etherscan
2159,4,Safe,Etherscan
