loc,length,bug type,approach
18,3,Safe,Etherscan
23,4,Safe,Etherscan
29,4,Safe,Etherscan
35,3,Safe,Etherscan
40,5,Safe,Etherscan
81,12,Safe,Etherscan
95,6,Safe,Etherscan
103,4,Safe,Etherscan
109,5,Safe,Etherscan
121,8,Safe,Etherscan
130,8,Safe,Etherscan
184,4,Safe,Etherscan
190,4,Safe,Etherscan
196,4,Safe,Etherscan
202,4,Safe,Etherscan
219,3,Safe,Etherscan
224,9,Safe,Etherscan
235,3,Safe,Etherscan
250,18,Safe,Etherscan
270,5,Safe,Etherscan
277,10,Safe,Etherscan
289,12,Safe,Etherscan
303,16,Safe,Etherscan
330,5,Safe,Etherscan
340,4,Reentrancy,Etherscan
350,7,Safe,Etherscan
358,5,Safe,Etherscan
364,4,Safe,Etherscan
380,2,Safe,Etherscan
383,12,Safe,Etherscan
396,4,Safe,Etherscan
401,8,Safe,Etherscan
410,3,Safe,Etherscan
414,17,Safe,Etherscan
432,14,Safe,Etherscan
449,6,Safe,Etherscan
458,3,Safe,Etherscan
462,3,Safe,Etherscan
466,3,Safe,Etherscan
470,6,Safe,Etherscan
477,6,Safe,Etherscan
484,5,Safe,Etherscan
500,12,Safe,Etherscan
513,3,Safe,Etherscan
517,9,Safe,Etherscan
527,11,Safe,Etherscan
541,5,Safe,Etherscan
549,6,Safe,Etherscan
556,4,Safe,Etherscan
573,3,Safe,Etherscan
577,4,Safe,Etherscan
582,4,Safe,Etherscan
587,4,Safe,Etherscan
592,3,Safe,Etherscan
596,3,Safe,Etherscan
600,8,Safe,Etherscan
609,5,Safe,Etherscan
