loc,length,bug type,approach
29,4,Safe,Etherscan
34,4,Safe,Etherscan
40,6,Safe,Etherscan
66,7,Safe,Etherscan
75,6,Safe,Etherscan
83,11,Safe,Etherscan
164,5,Safe,Etherscan
170,5,Safe,Etherscan
176,5,Safe,Etherscan
194,5,Safe,Etherscan
201,7,Safe,Etherscan
210,6,Safe,Etherscan
244,11,Safe,Etherscan
272,3,Safe,Etherscan
277,3,Safe,Etherscan
282,5,Safe,Etherscan
288,5,Safe,Etherscan
304,3,Safe,Etherscan
308,3,Safe,Etherscan
313,3,Safe,Etherscan
318,4,Safe,Etherscan
324,5,Safe,Etherscan
335,3,Safe,Etherscan
338,3,Safe,Etherscan
346,3,Safe,Etherscan
349,3,Safe,Etherscan
358,6,Safe,Etherscan
364,6,Safe,Etherscan
372,3,Safe,Etherscan
375,3,Safe,Etherscan
380,3,Safe,Etherscan
383,8,Safe,Etherscan
397,6,Safe,Etherscan
405,8,Safe,Etherscan
418,12,Safe,Etherscan
431,23,Safe,Etherscan
455,6,Safe,Etherscan
466,7,Safe,Etherscan
478,4,Safe,Etherscan
483,4,Safe,Etherscan
488,4,Safe,Etherscan
493,4,Safe,Etherscan
499,3,Safe,Etherscan
504,3,Safe,Etherscan
509,3,Safe,Etherscan
514,55,Safe,Etherscan
574,5,Safe,Etherscan
580,20,Safe,Etherscan
605,4,Safe,Etherscan
610,4,Safe,Etherscan
615,4,Safe,Etherscan
624,6,Safe,Etherscan
696,10,Safe,Etherscan
731,3,Safe,Etherscan
735,5,Safe,Etherscan
741,3,Safe,Etherscan
746,5,Safe,Etherscan
753,3,Safe,Etherscan
758,10,Safe,Etherscan
770,60,Safe,Etherscan
832,15,Safe,Etherscan
849,61,Safe,Etherscan
912,12,Safe,Etherscan
926,33,Safe,Etherscan
961,4,time_manipulation,Etherscan
967,6,Safe,Etherscan
975,6,Safe,Etherscan
983,6,Safe,Etherscan
991,8,Safe,Etherscan
1001,7,Safe,Etherscan
1010,10,Safe,Etherscan
1024,12,Safe,Etherscan
1058,5,Safe,Etherscan
1064,5,Safe,Etherscan
1070,5,Safe,Etherscan
1076,7,Safe,Etherscan
1084,7,Safe,Etherscan
1119,44,Safe,Etherscan
1164,17,Safe,Etherscan
1182,16,Safe,Etherscan
1199,40,Safe,Etherscan
1240,13,Safe,Etherscan
1254,11,Safe,Etherscan
1266,28,Safe,Etherscan
1295,29,Safe,Etherscan
1325,17,Safe,Etherscan
1343,29,Safe,Etherscan
1373,9,Safe,Etherscan
1383,6,Safe,Etherscan
1390,6,Safe,Etherscan
1397,14,Safe,Etherscan
1412,9,Safe,Etherscan
1422,7,Reentrancy,Etherscan
1471,41,Safe,Etherscan
1514,14,Safe,Etherscan
1530,5,Safe,Etherscan
1537,5,Safe,Etherscan
1545,6,Safe,Etherscan
1553,5,Safe,Etherscan
1560,5,Safe,Etherscan
1567,6,Safe,Etherscan
1574,6,Safe,Etherscan
1581,6,Safe,Etherscan
1588,6,Safe,Etherscan
1595,6,Safe,Etherscan
1603,41,Safe,Etherscan
1645,3,Safe,Etherscan
1650,26,Safe,Etherscan
1677,5,Safe,Etherscan
1683,5,Safe,Etherscan
