loc,length,bug type,approach
8,12,Safe,Etherscan
22,6,Safe,Etherscan
30,4,Safe,Etherscan
36,5,Safe,Etherscan
76,3,Safe,Etherscan
80,4,Safe,Etherscan
85,9,Safe,Etherscan
94,15,unchecked_low_calls,Etherscan
110,3,Safe,Etherscan
113,3,Safe,Etherscan
118,5,Safe,Etherscan
123,3,Safe,Etherscan
127,3,Safe,Etherscan
144,3,Safe,Etherscan
147,3,Safe,Etherscan
151,6,Safe,Etherscan
158,4,Safe,Etherscan
163,4,Safe,Etherscan
168,9,Safe,Etherscan
178,5,Safe,Etherscan
185,3,Safe,Etherscan
190,7,Safe,Etherscan
199,9,Safe,Etherscan
209,8,Safe,Etherscan
232,3,Safe,Etherscan
237,4,Safe,Etherscan
243,4,Safe,Etherscan
249,3,Safe,Etherscan
254,5,Safe,Etherscan
267,3,Safe,Etherscan
270,3,Safe,Etherscan
274,3,Safe,Etherscan
278,13,Safe,Etherscan
292,9,Safe,Etherscan
311,6,Safe,Etherscan
318,3,Safe,Etherscan
322,3,Safe,Etherscan
326,3,Safe,Etherscan
336,3,Safe,Etherscan
340,19,Safe,Etherscan
359,7,Safe,Etherscan
367,7,Safe,Etherscan
375,7,Safe,Etherscan
