loc,length,bug type,approach
178,22,Safe,Etherscan
204,4,Safe,Etherscan
210,4,Safe,Etherscan
216,5,Safe,Etherscan
225,16,Safe,Etherscan
243,32,Safe,Etherscan
276,40,Safe,Etherscan
317,40,Safe,Etherscan
359,31,Safe,Etherscan
391,39,Safe,Etherscan
431,39,Safe,Etherscan
472,19,Safe,Etherscan
493,15,Safe,Etherscan
509,15,Safe,Etherscan
525,15,Safe,Etherscan
543,9,Safe,Etherscan
555,5,Safe,Etherscan
562,22,Safe,Etherscan
590,17,Safe,Etherscan
609,19,Safe,Etherscan
630,40,Safe,Etherscan
672,7,Safe,Etherscan
681,26,Safe,Etherscan
709,25,Safe,Etherscan
741,50,Safe,Etherscan
794,46,Safe,Etherscan
842,61,Safe,Etherscan
909,7,Safe,Etherscan
918,14,Safe,Etherscan
934,17,Safe,Etherscan
953,6,Safe,Etherscan
961,6,Safe,Etherscan
969,6,Safe,Etherscan
977,6,Safe,Etherscan
985,9,Safe,Etherscan
996,10,Safe,Etherscan
1012,17,Safe,Etherscan
1031,7,Safe,Etherscan
1040,32,Safe,Etherscan
1074,10,Safe,Etherscan
1086,17,Safe,Etherscan
1105,64,Safe,Etherscan
1171,12,Safe,Etherscan
1185,20,time_manipulation,Etherscan
1207,29,Reentrancy,Etherscan
1249,39,Safe,Etherscan
1290,18,Safe,Etherscan
1310,18,Safe,Etherscan
1330,24,Safe,Etherscan
1360,23,Safe,Etherscan
1489,63,Safe,Etherscan
1558,14,Safe,Etherscan
1575,6,Safe,Etherscan
1583,12,Safe,Etherscan
1597,8,Safe,Etherscan
1607,9,Safe,Etherscan
1618,13,Safe,Etherscan
1633,7,Safe,Etherscan
1642,17,Safe,Etherscan
