loc,length,bug type,approach
31,9,Safe,Etherscan
42,61,Safe,Etherscan
107,30,Safe,Etherscan
139,19,Safe,Etherscan
160,7,Safe,Etherscan
171,9,Safe,Etherscan
189,3,Safe,Etherscan
197,7,Safe,Etherscan
213,4,Safe,Etherscan
217,4,Safe,Etherscan
238,3,Safe,Etherscan
288,4,Safe,Etherscan
294,5,Safe,Etherscan
357,3,Safe,Etherscan
430,18,Safe,Etherscan
458,5,Safe,Etherscan
470,17,Safe,Etherscan
494,38,Safe,Etherscan
535,3,Safe,Etherscan
544,12,Safe,Etherscan
562,4,Safe,Etherscan
574,13,Safe,Etherscan
590,3,Safe,Etherscan
603,22,Safe,Etherscan
629,20,Safe,Etherscan
664,23,Safe,Etherscan
696,11,Safe,Etherscan
713,11,Safe,Etherscan
732,3,Safe,Etherscan
744,22,Safe,Etherscan
771,12,Safe,Etherscan
787,8,Safe,Etherscan
797,3,Safe,Etherscan
804,4,Safe,Etherscan
817,11,Safe,Etherscan
863,21,Safe,Etherscan
1037,35,Safe,Etherscan
1076,3,Reentrancy,Etherscan
1081,3,Safe,Etherscan
1086,3,Safe,Etherscan
1091,7,Safe,Etherscan
1100,3,Safe,Etherscan
1105,3,Safe,Etherscan
1110,30,Safe,Etherscan
1142,11,Safe,Etherscan
1155,3,Safe,Etherscan
1160,3,Safe,Etherscan
1165,3,Safe,Etherscan
1170,3,Safe,Etherscan
1175,19,Safe,Etherscan
1196,32,Safe,Etherscan
1230,3,Safe,Etherscan
1235,12,Safe,Etherscan
1249,27,Safe,Etherscan
1278,10,Safe,Etherscan
1290,32,Safe,Etherscan
1324,22,Safe,Etherscan
1348,69,unchecked_low_calls,Etherscan
1419,8,Safe,Etherscan
1431,24,Safe,Etherscan
1457,27,Safe,Etherscan
1489,7,Safe,Etherscan
1503,4,Safe,Etherscan
1509,11,Safe,Etherscan
1522,10,Safe,Etherscan
1534,6,Safe,Etherscan
1542,5,Safe,Etherscan
1551,43,Safe,Etherscan
1596,13,Safe,Etherscan
1611,12,Safe,Etherscan
1625,10,Safe,Etherscan
1639,8,Safe,Etherscan
1649,12,Safe,Etherscan
1663,12,Safe,Etherscan
1677,17,Safe,Etherscan
1696,6,Safe,Etherscan
1704,3,Safe,Etherscan
