loc,length,bug type,approach
9,12,Safe,Etherscan
23,6,Safe,Etherscan
31,4,Safe,Etherscan
37,5,Safe,Etherscan
111,6,Safe,Etherscan
118,16,Safe,Etherscan
135,16,Safe,Etherscan
152,6,Reentrancy,Etherscan
159,6,Reentrancy,Etherscan
166,6,Reentrancy,Etherscan
175,7,Safe,Etherscan
183,7,Safe,Etherscan
193,6,Reentrancy,Etherscan
200,6,Reentrancy,Etherscan
223,3,Safe,Etherscan
228,4,Safe,Etherscan
234,4,Safe,Etherscan
240,3,Safe,Etherscan
245,5,Safe,Etherscan
256,9,Safe,Etherscan
266,10,Safe,Etherscan
277,9,Safe,Etherscan
295,4,Safe,Etherscan
354,18,Safe,Etherscan
373,5,Safe,Etherscan
379,4,Reentrancy,Etherscan
384,5,Reentrancy,Etherscan
390,8,Reentrancy,Etherscan
399,9,Reentrancy,Etherscan
409,7,Reentrancy,Etherscan
417,8,Reentrancy,Etherscan
428,6,Safe,Etherscan
435,4,Safe,Etherscan
442,3,Safe,Etherscan
446,4,Safe,Etherscan
453,3,Safe,Etherscan
457,4,Safe,Etherscan
462,6,Safe,Etherscan
469,7,Safe,Etherscan
477,4,Safe,Etherscan
482,5,Safe,Etherscan
488,3,Safe,Etherscan
492,4,Safe,Etherscan
499,12,Safe,Etherscan
512,14,Safe,Etherscan
527,4,Safe,Etherscan
539,4,Safe,Etherscan
544,16,Safe,Etherscan
561,14,Safe,Etherscan
578,20,Safe,Etherscan
599,53,Reentrancy,Etherscan
