loc,length,bug type,approach
7,5,Safe,Etherscan
14,5,Safe,Etherscan
21,4,Safe,Etherscan
27,9,Safe,Etherscan
38,10,Safe,Etherscan
50,4,Safe,Etherscan
56,4,Safe,Etherscan
120,3,Safe,Etherscan
125,4,Safe,Etherscan
131,4,Safe,Etherscan
137,6,Safe,Etherscan
178,3,Safe,Etherscan
183,3,Safe,Etherscan
188,21,time_manipulation,Etherscan
211,33,time_manipulation,Etherscan
246,3,Safe,Etherscan
251,36,time_manipulation,Etherscan
289,7,Safe,Etherscan
298,15,Safe,Etherscan
315,3,Safe,Etherscan
320,7,time_manipulation,Etherscan
328,6,Safe,Etherscan
335,12,Safe,Etherscan
348,3,Safe,Etherscan
371,5,Safe,Etherscan
377,6,Safe,Etherscan
385,21,time_manipulation,Etherscan
407,3,Safe,Etherscan
412,25,time_manipulation,Etherscan
439,19,time_manipulation,Etherscan
460,9,Safe,Etherscan
471,9,Safe,Etherscan
481,4,Safe,Etherscan
486,3,Safe,Etherscan
491,4,Safe,Etherscan
554,4,Safe,Etherscan
560,11,Safe,Etherscan
573,28,Safe,Etherscan
603,6,Safe,Etherscan
611,23,Safe,Etherscan
636,25,Reentrancy,Etherscan
663,4,Safe,Etherscan
669,3,Safe,Etherscan
674,3,Safe,Etherscan
678,3,Safe,Etherscan
683,4,Safe,Etherscan
697,3,Safe,Etherscan
701,4,Safe,Etherscan
706,4,Safe,Etherscan
728,27,Safe,Etherscan
757,5,Safe,Etherscan
764,4,Safe,Etherscan
770,4,Safe,Etherscan
