loc,length,bug type,approach
151,4,Safe,Etherscan
160,4,Safe,Etherscan
166,8,Safe,Etherscan
176,5,Safe,Etherscan
187,16,Safe,Etherscan
205,29,Safe,Etherscan
235,37,Safe,Etherscan
273,37,Safe,Etherscan
312,28,Safe,Etherscan
341,36,Safe,Etherscan
378,36,Safe,Etherscan
416,63,Safe,Etherscan
481,15,Safe,Etherscan
497,15,Safe,Etherscan
513,15,Safe,Etherscan
533,14,Safe,Etherscan
548,16,Safe,Etherscan
566,37,Safe,Etherscan
605,7,Safe,Etherscan
614,17,Safe,Etherscan
633,22,Safe,Etherscan
661,45,Safe,Etherscan
708,42,Safe,Etherscan
752,105,Safe,Etherscan
862,7,Safe,Etherscan
871,14,Safe,Etherscan
887,14,Safe,Etherscan
906,17,Safe,Etherscan
925,7,Safe,Etherscan
934,32,Safe,Etherscan
968,9,Safe,Etherscan
979,50,Reentrancy,Etherscan
1031,12,Safe,Etherscan
1045,19,Safe,Etherscan
1066,20,Safe,Etherscan
1088,33,Reentrancy,Etherscan
1123,30,Safe,Etherscan
1155,18,Safe,Etherscan
1175,18,Safe,Etherscan
1195,23,Safe,Etherscan
1221,19,Safe,Etherscan
1308,7,Safe,Etherscan
1317,7,Safe,Etherscan
1326,7,Safe,Etherscan
1335,7,Safe,Etherscan
1361,63,Safe,Etherscan
1430,12,Safe,Etherscan
1444,8,Safe,Etherscan
1454,9,Safe,Etherscan
1465,13,Safe,Etherscan
1480,7,Safe,Etherscan
