loc,length,bug type,approach
6,5,Safe,Etherscan
12,6,Safe,Etherscan
19,4,Safe,Etherscan
24,5,Safe,Etherscan
44,4,Safe,Etherscan
48,4,Safe,Etherscan
52,4,Safe,Etherscan
56,6,Safe,Etherscan
92,3,Safe,Etherscan
97,3,Safe,Etherscan
101,3,Safe,Etherscan
105,12,Safe,Etherscan
130,28,Safe,Etherscan
168,63,Safe,Etherscan
244,37,Reentrancy,Etherscan
291,23,Reentrancy,Etherscan
316,15,Reentrancy,Etherscan
337,3,Safe,Etherscan
340,3,Safe,Etherscan
351,6,Safe,Etherscan
357,6,Safe,Etherscan
365,3,Safe,Etherscan
368,3,Safe,Etherscan
371,3,Safe,Etherscan
374,3,Safe,Etherscan
377,5,Reentrancy,Etherscan
382,5,Reentrancy,Etherscan
387,3,Safe,Etherscan
392,3,Safe,Etherscan
