loc,length,bug type,approach
164,24,Safe,Etherscan
193,4,Safe,Etherscan
199,8,Safe,Etherscan
209,5,Safe,Etherscan
220,16,Safe,Etherscan
238,32,Safe,Etherscan
271,40,Safe,Etherscan
313,31,Safe,Etherscan
345,39,Safe,Etherscan
386,67,Safe,Etherscan
455,15,Safe,Etherscan
471,15,Safe,Etherscan
487,15,Safe,Etherscan
507,17,Safe,Etherscan
526,19,Safe,Etherscan
547,40,Safe,Etherscan
589,7,Safe,Etherscan
598,26,Safe,Etherscan
626,25,Safe,Etherscan
657,49,Safe,Etherscan
708,46,Safe,Etherscan
756,108,Safe,Etherscan
869,7,Safe,Etherscan
878,14,Safe,Etherscan
894,17,Safe,Etherscan
916,17,Safe,Etherscan
935,7,Safe,Etherscan
944,32,Safe,Etherscan
978,10,Safe,Etherscan
990,17,Safe,Etherscan
1009,64,Safe,Etherscan
1075,12,Safe,Etherscan
1089,19,Safe,Etherscan
1110,20,time_manipulation,Etherscan
1132,52,Reentrancy,Etherscan
1186,32,Safe,Etherscan
1220,18,Safe,Etherscan
1240,18,Safe,Etherscan
1260,24,Safe,Etherscan
1290,18,Safe,Etherscan
1391,7,Safe,Etherscan
1400,7,Safe,Etherscan
1409,7,Safe,Etherscan
1418,7,Safe,Etherscan
1447,63,Safe,Etherscan
1516,12,Safe,Etherscan
1530,8,Safe,Etherscan
1540,9,Safe,Etherscan
1551,13,Safe,Etherscan
1566,7,Safe,Etherscan
1575,17,Safe,Etherscan
