loc,length,bug type,approach
98,4,Safe,Etherscan
106,4,Safe,Etherscan
111,8,Safe,Etherscan
120,4,Safe,Etherscan
125,6,Safe,Etherscan
132,4,Safe,Etherscan
141,18,Safe,Etherscan
160,12,Safe,Etherscan
177,13,Safe,Etherscan
191,21,Safe,Etherscan
213,27,Safe,Etherscan
241,27,Safe,Etherscan
269,18,Safe,Etherscan
288,23,Safe,Etherscan
312,22,Safe,Etherscan
335,34,Safe,Etherscan
370,14,Safe,Etherscan
385,14,Safe,Etherscan
400,14,Safe,Etherscan
419,8,Safe,Etherscan
428,8,Safe,Etherscan
437,8,Safe,Etherscan
446,8,Safe,Etherscan
455,24,Safe,Etherscan
480,25,Safe,Etherscan
506,19,Safe,Etherscan
526,19,Safe,Etherscan
550,18,Safe,Etherscan
569,15,Safe,Etherscan
585,56,Safe,Etherscan
647,15,Safe,Etherscan
663,25,Safe,Etherscan
689,14,Safe,Etherscan
704,5,Safe,Etherscan
710,27,Reentrancy,Etherscan
738,36,Safe,Etherscan
775,44,time_manipulation,Etherscan
888,63,Safe,Etherscan
957,13,Safe,Etherscan
972,7,Safe,Etherscan
981,6,Safe,Etherscan
989,6,Safe,Etherscan
997,4,Safe,Etherscan
