loc,length,bug type,approach
80,12,Safe,Etherscan
94,6,Safe,Etherscan
102,4,Safe,Etherscan
108,5,Safe,Etherscan
120,6,Safe,Etherscan
127,16,Safe,Etherscan
144,21,Safe,Etherscan
166,6,Reentrancy,Etherscan
173,6,Reentrancy,Etherscan
180,6,Reentrancy,Etherscan
189,7,Safe,Etherscan
197,7,Safe,Etherscan
207,6,Reentrancy,Etherscan
214,6,Reentrancy,Etherscan
228,18,Safe,Etherscan
261,5,Safe,Etherscan
269,4,Reentrancy,Etherscan
274,5,Reentrancy,Etherscan
282,3,Safe,Etherscan
286,4,Safe,Etherscan
291,3,Safe,Etherscan
295,4,Safe,Etherscan
302,3,Safe,Etherscan
306,4,Safe,Etherscan
311,3,Safe,Etherscan
315,4,Safe,Etherscan
322,6,Safe,Etherscan
329,4,Safe,Etherscan
