loc,length,bug type,approach
7,3,Safe,Etherscan
11,4,Safe,Etherscan
24,4,Safe,Etherscan
30,4,Safe,Etherscan
35,4,Safe,Etherscan
49,5,Safe,Etherscan
59,27,Safe,Etherscan
171,16,Safe,Etherscan
190,7,Safe,Etherscan
199,6,Safe,Etherscan
207,8,Reentrancy,Etherscan
217,21,Safe,Etherscan
240,11,Safe,Etherscan
253,21,Safe,Etherscan
276,37,Safe,Etherscan
316,31,Safe,Etherscan
349,12,Safe,Etherscan
363,6,Safe,Etherscan
371,8,Safe,Etherscan
382,6,Safe,Etherscan
390,6,Safe,Etherscan
398,6,Safe,Etherscan
406,6,Safe,Etherscan
414,6,Safe,Etherscan
422,6,Safe,Etherscan
430,6,Safe,Etherscan
440,7,Safe,Etherscan
449,7,Safe,Etherscan
458,8,Safe,Etherscan
468,8,Safe,Etherscan
478,7,Safe,Etherscan
487,7,Safe,Etherscan
496,16,Safe,Etherscan
514,16,Safe,Etherscan
532,11,Safe,Etherscan
545,12,Safe,Etherscan
559,6,Safe,Etherscan
570,20,Safe,Etherscan
592,74,Safe,Etherscan
668,29,Safe,Etherscan
699,23,Safe,Etherscan
726,8,Safe,Etherscan
740,8,Safe,Etherscan
750,6,Safe,Etherscan
758,4,Safe,Etherscan
764,5,Safe,Etherscan
