loc,length,bug type,approach
151,4,Safe,Etherscan
160,4,Safe,Etherscan
166,10,Safe,Etherscan
178,5,Safe,Etherscan
189,16,Safe,Etherscan
207,29,Safe,Etherscan
237,37,Safe,Etherscan
275,37,Safe,Etherscan
314,28,Safe,Etherscan
343,36,Safe,Etherscan
380,36,Safe,Etherscan
418,63,Safe,Etherscan
483,15,Safe,Etherscan
499,15,Safe,Etherscan
515,15,Safe,Etherscan
535,14,Safe,Etherscan
551,16,Safe,Etherscan
569,37,Safe,Etherscan
608,7,Safe,Etherscan
617,17,Safe,Etherscan
636,22,Safe,Etherscan
664,45,Safe,Etherscan
711,42,Safe,Etherscan
755,105,Safe,Etherscan
865,7,Safe,Etherscan
874,14,Safe,Etherscan
890,14,Safe,Etherscan
909,17,Safe,Etherscan
928,7,Safe,Etherscan
937,32,Safe,Etherscan
971,9,Safe,Etherscan
982,50,Reentrancy,Etherscan
1034,12,Safe,Etherscan
1048,19,Safe,Etherscan
1069,20,time_manipulation,Etherscan
1091,28,Reentrancy,Etherscan
1121,29,Safe,Etherscan
1152,18,Safe,Etherscan
1172,18,Safe,Etherscan
1192,23,Safe,Etherscan
1218,19,Safe,Etherscan
1305,7,Safe,Etherscan
1314,7,Safe,Etherscan
1323,7,Safe,Etherscan
1332,7,Safe,Etherscan
1358,63,Safe,Etherscan
1427,12,Safe,Etherscan
1441,8,Safe,Etherscan
1451,9,Safe,Etherscan
1462,13,Safe,Etherscan
1477,7,Safe,Etherscan
