loc,length,bug type,approach
6,3,Safe,Etherscan
9,3,Safe,Etherscan
12,4,Safe,Etherscan
20,3,Safe,Etherscan
41,3,Safe,Etherscan
45,3,Safe,Etherscan
49,3,Safe,Etherscan
53,3,Safe,Etherscan
57,3,Safe,Etherscan
61,3,Safe,Etherscan
65,3,Safe,Etherscan
69,3,Safe,Etherscan
81,3,Safe,Etherscan
85,3,Safe,Etherscan
89,3,Safe,Etherscan
93,3,Safe,Etherscan
97,3,Safe,Etherscan
101,3,Safe,Etherscan
105,3,Safe,Etherscan
109,3,Safe,Etherscan
113,3,Safe,Etherscan
151,4,Safe,Etherscan
221,6,Safe,Etherscan
228,8,Reentrancy,Etherscan
237,5,Safe,Etherscan
249,5,Safe,Etherscan
254,5,Safe,Etherscan
266,4,Safe,Etherscan
270,5,Safe,Etherscan
275,6,Safe,Etherscan
296,6,Safe,Etherscan
303,7,Safe,Etherscan
311,4,Safe,Etherscan
316,4,Safe,Etherscan
356,6,Safe,Etherscan
363,4,Safe,Etherscan
368,6,Safe,Etherscan
375,8,Safe,Etherscan
384,8,Safe,Etherscan
393,8,Safe,Etherscan
402,8,Safe,Etherscan
411,17,Safe,Etherscan
429,17,Safe,Etherscan
450,6,Safe,Etherscan
457,12,Safe,Etherscan
470,17,Safe,Etherscan
488,6,Safe,Etherscan
495,6,Safe,Etherscan
502,10,Safe,Etherscan
513,10,Safe,Etherscan
526,5,Safe,Etherscan
532,9,Safe,Etherscan
544,31,Safe,Etherscan
578,49,Safe,Etherscan
628,23,Safe,Etherscan
652,27,Safe,Etherscan
680,30,Safe,Etherscan
711,11,Safe,Etherscan
723,21,Safe,Etherscan
745,18,Safe,Etherscan
764,10,Safe,Etherscan
